Geo Point;Geo Shape;N_SQ_SPVP;N_SQ_CA;N_SQ_PC
48.8326621745,2.32452053678;"{""coordinates"": [[[2.324284290601204, 48.83264775931965], [2.324407798789139, 48.83280775308797], [2.324605057283376, 48.832743116687766], [2.324609689287291, 48.832741318016296], [2.324614048796374, 48.83273889094289], [2.324617453730566, 48.832736642850506], [2.324620315669375, 48.832734035540106], [2.324623721339577, 48.83273025851751], [2.324626037749724, 48.832726751451595], [2.3246721069038, 48.83261371755455], [2.324721447660184, 48.83249241077909], [2.324433732437782, 48.83259473106172], [2.324456758658018, 48.83262086829378], [2.324492345283646, 48.832604962413825], [2.324522980759703, 48.83260749359157], [2.324522979141235, 48.83261760613421], [2.324511489409152, 48.83261886961819], [2.324496164006958, 48.83265046977827], [2.324423397062912, 48.83267448035831], [2.324432966865178, 48.832689650176206], [2.324396583350867, 48.832702286812065], [2.324377442192905, 48.832679531574406], [2.324387016605025, 48.83267573993875], [2.324390847589676, 48.83266942009907], [2.324388935118809, 48.83266183567498], [2.324356398031317, 48.83262208125756], [2.324284290601204, 48.83264775931965]]], ""type"": ""Polygon""}";5615;14;750040083
48.8502636193,2.34975554961;"{""coordinates"": [[[2.349698411692642, 48.85033741591456], [2.349793786226095, 48.85029679768909], [2.349881496510314, 48.8502573734581], [2.349805681969225, 48.85019106113257], [2.349634519305864, 48.85026625419918], [2.349679670015718, 48.85031739510143], [2.349697558904121, 48.850336081131275], [2.349698411692642, 48.85033741591456]]], ""type"": ""Polygon""}";4555;5;750008660
48.8445751289,2.34903222437;"{""coordinates"": [[[2.349157069973745, 48.84463909829494], [2.349173224883013, 48.84453764650827], [2.349168965304356, 48.84453448546397], [2.348895612231643, 48.844519762146234], [2.348878610654562, 48.8446421500169], [2.34890756309998, 48.84463989820304], [2.348924594331551, 48.84463849165783], [2.348932243953774, 48.84458003793935], [2.349011439246066, 48.84458178557557], [2.349011442030962, 48.84459639841108], [2.349042098245134, 48.8445963952452], [2.349036997746524, 48.84463208561988], [2.349052325772999, 48.844631873133984], [2.349157069973745, 48.84463909829494]]], ""type"": ""Polygon""}";5019;5;750008344
48.8625427695,2.3639092596;"{""coordinates"": [[[2.363825493203997, 48.862614078798295], [2.363891067763292, 48.8625794275429], [2.363931094720321, 48.862559113633516], [2.364040102812155, 48.86250288311094], [2.363985569189493, 48.8624745822976], [2.363783733061086, 48.86258008549002], [2.363825493203997, 48.862614078798295]]], ""type"": ""Polygon""}";2883;3;750003918
48.8444340709,2.34744700436;"{""coordinates"": [[[2.347686392662576, 48.84447710144072], [2.347679576462015, 48.84446298117414], [2.347664233045189, 48.844390618530014], [2.347645500550247, 48.84439567871815], [2.347632712400222, 48.84433069397115], [2.347626746798955, 48.84430294311779], [2.347610237032723, 48.84421763318136], [2.347535615799862, 48.844234452598], [2.347536467760851, 48.84423747370333], [2.347569693288858, 48.84430618086311], [2.347592695285119, 48.84435409298012], [2.347600532424199, 48.84436796520085], [2.34757992604081, 48.844373484626466], [2.347323619642367, 48.844433577717936], [2.347293802787743, 48.844367329961045], [2.347262279600087, 48.84429665521821], [2.34725887246764, 48.84428843534994], [2.347241842202183, 48.84429096676472], [2.347216295765091, 48.8442960976299], [2.347248696345265, 48.844493302941274], [2.347264893215167, 48.84457929381735], [2.347686392662576, 48.84447710144072]]], ""type"": ""Polygon""}";5028;5;750007783
48.8429438174,2.34831888;"{""coordinates"": [[[2.348420930035148, 48.84293006384854], [2.348238694081144, 48.84289038864624], [2.348230197439357, 48.842970551107285], [2.348317055349674, 48.84298009706934], [2.348361335458638, 48.84298430806463], [2.348402209925443, 48.84298823787972], [2.348420930035148, 48.84293006384854]]], ""type"": ""Polygon""}";5134;5;750007252
48.8766619292,2.37763488926;"{""coordinates"": [[[2.377768430433961, 48.87676880572838], [2.377761635436889, 48.876687054363266], [2.377759903681242, 48.87665340223184], [2.377728375796952, 48.87665369521032], [2.377728358595074, 48.87663311029845], [2.377727438792343, 48.876550559376945], [2.377502484640359, 48.876552607628724], [2.377499992860452, 48.876631154971335], [2.377499156251949, 48.876650615774864], [2.377536649256095, 48.87665032149804], [2.377540948461175, 48.876697531830615], [2.377549349981295, 48.876778424606094], [2.377551778189661, 48.87677831941931], [2.377768430433961, 48.87676880572838]]], ""type"": ""Polygon""}";911;19;750066805
48.8290281547,2.3753807433;"{""coordinates"": [[[2.375831245146363, 48.82928050482048], [2.375943492660859, 48.82912337417365], [2.375810656293041, 48.82907915858514], [2.375791922543772, 48.82907284255696], [2.375786813484062, 48.82907108729965], [2.375762120653282, 48.82906301696882], [2.375651423470376, 48.82902617018341], [2.374894433034449, 48.828774279913375], [2.374876572821349, 48.828795784066735], [2.374790674392623, 48.82890386669621], [2.374966941168708, 48.82896928555499], [2.375359498860916, 48.829114582061244], [2.375512774918773, 48.82917164717165], [2.375540875691959, 48.829182246391596], [2.375559610242973, 48.82918940607272], [2.37568052851565, 48.82923397702899], [2.375744391695132, 48.82925411814032], [2.375831245146363, 48.82928050482048]]], ""type"": ""Polygon""}";5387;13;750087185
48.8772167512,2.37824241339;"{""coordinates"": [[[2.378144550330025, 48.877117569631345], [2.378064601055889, 48.87725285541315], [2.378171137345529, 48.87727909197413], [2.378209484659828, 48.87728231021609], [2.378231642390967, 48.87728448027621], [2.378345847859548, 48.87731064319689], [2.378425848686437, 48.87719223347099], [2.37831675150586, 48.87716065799076], [2.378298852025709, 48.87715539567349], [2.378286068212657, 48.87715230842581], [2.378144550330025, 48.877117569631345]]], ""type"": ""Polygon""}";884;19;750066594
48.8426331712,2.31055757486;"{""coordinates"": [[[2.310620786008085, 48.84271791127847], [2.310631864124628, 48.84270273895152], [2.310639533630072, 48.84269185134886], [2.310667653215823, 48.84265434072477], [2.310668505192303, 48.84265307662807], [2.310702591566607, 48.84260587192985], [2.310637884292724, 48.842588574789445], [2.310620857183313, 48.84258407426949], [2.310488037501068, 48.842548775819], [2.310416449213502, 48.84266166087136], [2.310477751139519, 48.84267846543556], [2.310482007918267, 48.8426795907956], [2.310515211878898, 48.842688801919586], [2.310518618055057, 48.84268964537093], [2.310600351868239, 48.842712216550176], [2.310620786008085, 48.84271791127847]]], ""type"": ""Polygon""}";5146;15;750040948
48.871851251,2.28436787722;"{""coordinates"": [[[2.284023075663226, 48.87176953015059], [2.284194084028325, 48.87200370193224], [2.28428524074831, 48.872013368182834], [2.284285238142269, 48.87201603832352], [2.284288646483557, 48.87201603981681], [2.284287791338765, 48.8720181472658], [2.284296310949632, 48.87201913442529], [2.284296313942302, 48.872016535335185], [2.284299721941388, 48.87201695861908], [2.284300578327679, 48.87201218102112], [2.284338916205222, 48.872016203683195], [2.284338909647639, 48.87202154305714], [2.284342317989291, 48.87202154454886], [2.284342315962658, 48.872024073495794], [2.284348279258348, 48.87202456781536], [2.284348280778055, 48.87202267110517], [2.284352541259841, 48.872023165136575], [2.284353394981113, 48.87202056573671], [2.28457148914895, 48.872044693053596], [2.284656187473978, 48.87171488048651], [2.284562475879801, 48.87170465064174], [2.284519027195095, 48.87169992388978], [2.284459393248361, 48.87169329268452], [2.284438094083856, 48.8716908936113], [2.284318825118072, 48.871677911679384], [2.284225923830713, 48.87170674499427], [2.284160296793416, 48.87172708874722], [2.284023075663226, 48.87176953015059]]], ""type"": ""Polygon""}";1190;16;750051590
48.8461537041,2.31850031175;"{""coordinates"": [[[2.318496160277054, 48.84605826097396], [2.318367546530957, 48.84612673963247], [2.318525039214886, 48.84625947804062], [2.318544633907817, 48.84624044132184], [2.318565930347327, 48.8462196488434], [2.318620452071472, 48.84616429601697], [2.318577036337345, 48.84612677284664], [2.318567672010739, 48.8461183401453], [2.318496160277054, 48.84605826097396]]], ""type"": ""Polygon""}";4898;6;750010161
48.8672648216,2.34029987702;"{""coordinates"": [[[2.340081702074871, 48.86725228964675], [2.34014645939491, 48.867403548442496], [2.340200992190461, 48.86752677584014], [2.340243596331977, 48.867628855937085], [2.340293017199013, 48.86774091222386], [2.34068405854547, 48.86767506940871], [2.340691725399684, 48.86766558399955], [2.340697690009457, 48.867677176114704], [2.340713023991324, 48.867659260225324], [2.340654231219965, 48.867550998072275], [2.34065337879392, 48.86754952294996], [2.340651675784266, 48.86754825808493], [2.340649971938139, 48.86754727470974], [2.340648267730815, 48.867546642975775], [2.34064571152547, 48.867546010145595], [2.340643155010149, 48.867545940302584], [2.340640600395905, 48.86754615106515], [2.340638896490773, 48.867546572463816], [2.3406371925149, 48.86754839953578], [2.340624410685038, 48.86752612882844], [2.340625262762276, 48.86752310813147], [2.340627819099896, 48.86752254573547], [2.340629522002573, 48.867521772688136], [2.340631226618239, 48.86752064890633], [2.340632929819467, 48.86751931377096], [2.340633781899383, 48.86751790829469], [2.340633782371384, 48.8675163632253], [2.340633781491723, 48.86751481724915], [2.340632930378677, 48.86751313078818], [2.340522162378472, 48.867310236574085], [2.34051108632054, 48.86731206326668], [2.340505973962538, 48.86730271969616], [2.340516198024974, 48.867299276685806], [2.340494895911011, 48.86726098756826], [2.34048978379901, 48.86725087146179], [2.340486375943585, 48.8672515038083], [2.340472743036943, 48.867225509602356], [2.340460814071932, 48.86720415190697], [2.340459109829749, 48.867201693602865], [2.340445477374217, 48.86717555819801], [2.340448033634871, 48.86717478535893], [2.340442921239717, 48.86716523133782], [2.340421619585829, 48.867126591460476], [2.340410544988254, 48.86712862859836], [2.340405431778124, 48.86711935516594], [2.340415655687572, 48.867115491270006], [2.340366236390159, 48.86702626751857], [2.340355161387034, 48.867028445846145], [2.340349196626038, 48.86701741579537], [2.340359420106336, 48.86701369219927], [2.340304037391317, 48.866912595683246], [2.340302332925209, 48.86691090991138], [2.340300629408768, 48.866909364442364], [2.340298073541189, 48.8669081695161], [2.34029466482478, 48.86690725677964], [2.34029210959325, 48.86690676514369], [2.340288701110685, 48.8669066950936], [2.340286146526355, 48.86690690584869], [2.340284442578073, 48.866907116795765], [2.340272513005239, 48.866884634891356], [2.340276772535475, 48.8668845648386], [2.340278476846804, 48.86688400225015], [2.340281032620826, 48.866883159262976], [2.340281884810904, 48.866882175581274], [2.340283588463527, 48.86688091150089], [2.340284439654103, 48.86687957617019], [2.340284439722944, 48.86687817139533], [2.340284440691497, 48.86687669557722], [2.340283587873439, 48.866875360746754], [2.34020690442125, 48.86673506216543], [2.34019156981142, 48.866738505756196], [2.340178789562804, 48.86671560275264], [2.340194123520763, 48.866711456772144], [2.340189011510586, 48.866702955869755], [2.340168565033012, 48.86670682094862], [2.340165157839329, 48.86670471298831], [2.33993172894784, 48.86674982481706], [2.340010115798663, 48.86689054486945], [2.340020341059048, 48.86691056758963], [2.34009532195832, 48.86707419125712], [2.34001012797791, 48.86709175784216], [2.340081702074871, 48.86725228964675]]], ""type"": ""Polygon""}";1828;2;750002865
48.8843121583,2.33960617654;"{""coordinates"": [[[2.339682209256733, 48.8843665589227], [2.33967794150717, 48.88425639716346], [2.339654078727407, 48.884243611982754], [2.339527096684314, 48.884259071620235], [2.339528804084035, 48.884324971337946], [2.339529657310127, 48.884337476728824], [2.339543843635517, 48.8843382150935], [2.339552594640393, 48.88433377481125], [2.33955132410819, 48.884328152387496], [2.339567155107784, 48.88432468915973], [2.339577582706552, 48.88435170139111], [2.339529657961772, 48.884354197971014], [2.339530512283382, 48.88438510994971], [2.339682209256733, 48.8843665589227]]], ""type"": ""Polygon""}";560;18;750059616
48.8444299348,2.34885231447;"{""coordinates"": [[[2.348921130045768, 48.84439835684375], [2.348921979448936, 48.84439013680701], [2.348790838738315, 48.844386006351655], [2.348779788007584, 48.844468769281285], [2.348916890651595, 48.844473531169015], [2.348921130045768, 48.84439835684375]]], ""type"": ""Polygon""}";5040;5;750007276
48.8499742533,2.33748541211;"{""coordinates"": [[[2.337584445991765, 48.850018935773484], [2.337561449728348, 48.849906456164994], [2.337409004328018, 48.849921281541604], [2.337387714226999, 48.850040435584596], [2.337584445991765, 48.850018935773484]]], ""type"": ""Polygon""}";4597;6;750011146
48.8854325654,2.33849508234;"{""coordinates"": [[[2.338524830217531, 48.8853777246369], [2.338509523305735, 48.885382625950285], [2.338493646915263, 48.885358715008934], [2.338388538490515, 48.885388951553324], [2.338490813048225, 48.88549967276906], [2.338499336002285, 48.88550880577783], [2.338593082741978, 48.88548154430912], [2.338540240771005, 48.88540159432889], [2.338524830217531, 48.8853777246369]]], ""type"": ""Polygon""}";419;18;750062090
48.8498573676,2.37369968939;"{""coordinates"": [[[2.373555439410254, 48.84975725419254], [2.373746392741569, 48.85000688132524], [2.373836609682857, 48.849928305637675], [2.373652500302315, 48.84971991660109], [2.373555439410254, 48.84975725419254]]], ""type"": ""Polygon""}";4601;12;750030438
48.8429999002,2.34918438477;"{""coordinates"": [[[2.34929547574793, 48.843029873131236], [2.349310793053316, 48.8429861718863], [2.349271621801286, 48.84298442000959], [2.349274172166257, 48.842967207494034], [2.349274171052136, 48.84296467758137], [2.349232445038984, 48.842959975376544], [2.349229892039387, 48.842966158095884], [2.349123448574455, 48.84295310215093], [2.349110674975201, 48.84295436820502], [2.349110678084307, 48.84296350214726], [2.349057881321499, 48.84296020560693], [2.349047675965787, 48.843010580027105], [2.34916689591165, 48.84303480547935], [2.349289522253867, 48.84305762475039], [2.34929547574793, 48.843029873131236]]], ""type"": ""Polygon""}";5130;5;750007351
48.8537836214,2.34016655572;"{""coordinates"": [[[2.340288688081863, 48.85380447158647], [2.340269094055949, 48.85373344404918], [2.340147299681174, 48.853746023550585], [2.340039132896188, 48.85377040567661], [2.340066392210869, 48.85383447854909], [2.340128566928292, 48.853826327041446], [2.340197554698986, 48.85381698095456], [2.340288688081863, 48.85380447158647]]], ""type"": ""Polygon""}";3707;6;750010686
48.8848431505,2.35209928272;"{""coordinates"": [[[2.351990088997125, 48.88483703579086], [2.352014552489278, 48.88492443809726], [2.352157039618653, 48.88489968892669], [2.352173537374486, 48.8848881750611], [2.352203638467849, 48.88477630052007], [2.35206484079464, 48.88476255148442], [2.352057038686569, 48.88480610599695], [2.352014852023448, 48.88483373707678], [2.351990088997125, 48.88483703579086]]], ""type"": ""Polygon""}";5587;18;750062893
48.8575953093,2.36848109739;"{""coordinates"": [[[2.368656618567917, 48.85755664696387], [2.368529694509689, 48.85754284226022], [2.368457289200638, 48.857535063908756], [2.368334623985715, 48.85752174913531], [2.368307437676538, 48.857634236482646], [2.368625174534359, 48.85766906514657], [2.368656618567917, 48.85755664696387]]], ""type"": ""Polygon""}";3235;11;750025467
48.8194729761,2.34074558256;"{""coordinates"": [[[2.341193721124738, 48.819428200926616], [2.341193721581811, 48.819425038701624], [2.341194571844674, 48.81942328239612], [2.341195423241856, 48.81942229866608], [2.341197125321774, 48.81942103451887], [2.341198827531362, 48.81942019128321], [2.341202231885431, 48.81941829435602], [2.341204784853722, 48.81941738025951], [2.341207338404638, 48.819416959027556], [2.341204784382015, 48.81941105760056], [2.341169031343135, 48.819339608857724], [2.341166476853176, 48.819333637275086], [2.341160519476776, 48.81933462075215], [2.341155412663603, 48.81933490200114], [2.341152859333067, 48.81933455156326], [2.341151157235592, 48.8193342004194], [2.341148603733772, 48.81933321681545], [2.341146050460293, 48.81933146064339], [2.341144347716241, 48.81933040617898], [2.34114264518919, 48.81932858004583], [2.341141794370794, 48.81932682336119], [2.341140092045416, 48.819327244785235], [2.341092421948859, 48.81923500138542], [2.340921348609666, 48.81927266543832], [2.340967315438445, 48.819361396423425], [2.340778368763989, 48.81940292443653], [2.340751133493506, 48.819408968326094], [2.340748579288875, 48.819403839457316], [2.340677086661168, 48.81941971958839], [2.340679639497657, 48.819424848451064], [2.340652403740781, 48.81943082126427], [2.34050260794668, 48.81946391716209], [2.340489839800207, 48.8194384850616], [2.340487285355201, 48.81943897642511], [2.340450688434619, 48.81944691667275], [2.34043706790945, 48.81942050133661], [2.340418340830009, 48.81938368795269], [2.340248117750676, 48.8194213503367], [2.340395382796875, 48.819712344824936], [2.340566457421465, 48.81967440092908], [2.340547730634219, 48.819637657728165], [2.340534110422635, 48.819611102106236], [2.340569856756742, 48.81960344224693], [2.340573261497022, 48.819602809871036], [2.340560492270436, 48.81957702701661], [2.340709438426487, 48.819543720404866], [2.340736674235799, 48.819537747579304], [2.340739227095399, 48.81954287554088], [2.340811572882931, 48.81952685437705], [2.340809018655211, 48.81952172640943], [2.3408354032169, 48.81951575336544], [2.341024350613069, 48.819473873609915], [2.341069467455464, 48.81956253419869], [2.341239690337443, 48.819524660194425], [2.34119287111905, 48.819432416144224], [2.341194572983197, 48.81943192366576], [2.341193721491149, 48.81942946545988], [2.341193721124738, 48.819428200926616]]], ""type"": ""Polygon""}";5481;14;750086917
48.8597756256,2.34828444006;"{""coordinates"": [[[2.348345587644806, 48.859820697586535], [2.348343882974197, 48.85981859012279], [2.348395839714491, 48.85980017737466], [2.348399247201455, 48.85979898270677], [2.348346416236149, 48.859718054005654], [2.348141994728259, 48.85978446648372], [2.348140293050114, 48.85979050893358], [2.348155631439418, 48.85981608003264], [2.348249325264369, 48.85979035724047], [2.348266367367752, 48.85981353993964], [2.348321731281226, 48.859795267191394], [2.34833962528905, 48.85982161123375], [2.348345587644806, 48.859820697586535]]], ""type"": ""Polygon""}";3125;1;750000240
48.8441547144,2.35024843813;"{""coordinates"": [[[2.350387438162267, 48.844138662771186], [2.350389121413588, 48.84406932035235], [2.350316169571323, 48.844067085900164], [2.350314881423298, 48.84412123125629], [2.350251703633867, 48.84412521406813], [2.350179725729265, 48.84413097744802], [2.35010557391043, 48.844136237923614], [2.350099639076969, 48.844233542667475], [2.350387444981127, 48.84416697560434], [2.350387438162267, 48.844138662771186]]], ""type"": ""Polygon""}";5058;5;750009071
48.8442711016,2.34973585258;"{""coordinates"": [[[2.349663659438464, 48.844295419296756], [2.34966706586843, 48.84429520847736], [2.349727525090306, 48.84429147740745], [2.349758179600769, 48.84428810144473], [2.349818638331756, 48.844281350270755], [2.349821192643597, 48.844281069162484], [2.349817785396549, 48.844273481619545], [2.349819482110597, 48.8442510697622], [2.349658539170397, 48.84425410987614], [2.349663659438464, 48.844295419296756]]], ""type"": ""Polygon""}";5054;5;750007159
48.8437470943,2.29328825095;"{""coordinates"": [[[2.293418098276539, 48.84385716962435], [2.293371310952524, 48.84380256249783], [2.293311606853004, 48.843733138417385], [2.293267645794815, 48.84374927058839], [2.293251792646845, 48.843731329887724], [2.293295424100739, 48.843714583306074], [2.293352810358568, 48.84369255772847], [2.293388606881465, 48.84367881908355], [2.293404831122037, 48.84369712979984], [2.293448983927535, 48.843680516649755], [2.293378302176453, 48.84359847258975], [2.293137231733112, 48.84369315571083], [2.293128696212514, 48.84371717954193], [2.293290324400927, 48.84390426211209], [2.293418098276539, 48.84385716962435]]], ""type"": ""Polygon""}";5084;15;750045631
48.8801110308,2.31240173793;"{""coordinates"": [[[2.312599320590304, 48.88003291110752], [2.312338603177709, 48.879964429483884], [2.312235388262329, 48.88014995144511], [2.312213956588246, 48.880194917423196], [2.312455193070642, 48.880258191784186], [2.312517450573452, 48.880159424523356], [2.312599320590304, 48.88003291110752]]], ""type"": ""Polygon""}";769;8;750016786
48.8931312041,2.34503911109;"{""coordinates"": [[[2.344665710190945, 48.89285651637138], [2.344672657692933, 48.89286681925675], [2.344686548124256, 48.89287597752742], [2.34470391154322, 48.89287826599265], [2.344716065876764, 48.892877120217015], [2.344735163321349, 48.892872539250256], [2.344780317884446, 48.8929469525349], [2.344775110399636, 48.89294924249427], [2.344778583095481, 48.89295496679581], [2.344782055553884, 48.8929549660106], [2.344825473609695, 48.893025944252294], [2.344820265522638, 48.89302708937306], [2.344823738653949, 48.89303624818656], [2.344830684933992, 48.89303624752015], [2.344874102943777, 48.893109516311355], [2.344867157251323, 48.89311066182056], [2.344872367994971, 48.89311982024553], [2.344881049156943, 48.89311981917479], [2.344920995232718, 48.893192514966216], [2.344886271069426, 48.8932039667298], [2.344870643940296, 48.89319938822489], [2.34486543686217, 48.89320511270078], [2.34487238282692, 48.89320969137783], [2.344856760299744, 48.893234879555386], [2.344844605289013, 48.89323488050469], [2.344840056946247, 48.89324028123009], [2.344842423443358, 48.89324406323581], [2.344855025940326, 48.893246328328274], [2.344870656835965, 48.89327380449227], [2.344864447901092, 48.89327926358276], [2.344867826667276, 48.89328465101954], [2.344872394958633, 48.89328525247717], [2.344879338284033, 48.89327952760739], [2.344917538143048, 48.893289828773455], [2.344917539604415, 48.89329784263926], [2.344929693266022, 48.89329784167504], [2.344933165469736, 48.893292117599145], [2.344974833854828, 48.89328181087257], [2.345016516203632, 48.89335278941924], [2.344961385522226, 48.89343382613065], [2.344962020611772, 48.89343484044233], [2.344980301952412, 48.89346424574074], [2.345024356167505, 48.89347701245733], [2.345025762647612, 48.89347742214691], [2.345069328440906, 48.89346558972471], [2.345100574666084, 48.89341793287817], [2.345131828376314, 48.893417930227514], [2.34515038536615, 48.893426944885505], [2.345161132918066, 48.89344819527642], [2.345155272576335, 48.893450772162325], [2.345158204354009, 48.89345656723626], [2.345167971312068, 48.89345721060042], [2.345179694223385, 48.89347974965472], [2.345174811720846, 48.89348168167889], [2.345176765575688, 48.89348747769992], [2.34518457927825, 48.89348683244561], [2.345198255307265, 48.893509371385484], [2.345192396420565, 48.89351259129609], [2.345196303552989, 48.89351967503413], [2.345206070097492, 48.89351709882107], [2.345217791525666, 48.8935280456052], [2.345216389531235, 48.89353313529477], [2.345222121984561, 48.89353563078056], [2.34522307516428, 48.893536079358], [2.34522756028011, 48.89353744027387], [2.34522755901054, 48.89353255245339], [2.345243186576365, 48.89353255156588], [2.345251977168923, 48.89353448280926], [2.345252427019094, 48.893541008948525], [2.345252945118181, 48.89354102347246], [2.345263037291988, 48.893540752198085], [2.345265650401978, 48.89354043643418], [2.345265650106126, 48.89353319329553], [2.345285181926047, 48.893528683865426], [2.345290456009237, 48.89353389908873], [2.345291676445097, 48.893533376959994], [2.345299104293634, 48.89352925101229], [2.345293971656911, 48.89352417595756], [2.345300806756637, 48.89351837942655], [2.345303735646824, 48.89351258312303], [2.345315867537813, 48.89351258200033], [2.345316085940724, 48.89351224235141], [2.34531643318093, 48.893511418672446], [2.345316431159663, 48.89350485451212], [2.345307640742555, 48.89350421110306], [2.345306662139284, 48.89348875540546], [2.345314475915572, 48.89348875495679], [2.345314473611365, 48.893481670986795], [2.345304708010735, 48.89348102764203], [2.345294937030642, 48.893460421122626], [2.345296889798911, 48.89345784445013], [2.345297865659379, 48.893452693074366], [2.345291029383275, 48.89344947299897], [2.345288098355754, 48.89344947406129], [2.345276375576389, 48.89342822284678], [2.345281257984106, 48.893425646903474], [2.345278327655717, 48.89342049485548], [2.345271490353902, 48.8934198513302], [2.345258791541824, 48.893402464558676], [2.345257811505289, 48.89338636493688], [2.34527343851116, 48.893382500556], [2.345285155922485, 48.89337348326766], [2.345351571975672, 48.893392153862486], [2.345402234055144, 48.89338183320183], [2.34540307631347, 48.893380581453286], [2.345422846545177, 48.893351353644476], [2.345406339398039, 48.89332140772508], [2.345405295443947, 48.89331950085205], [2.345283676769375, 48.893285901914275], [2.345242645198921, 48.893211845939135], [2.345278779034563, 48.893203472065196], [2.345287569831442, 48.89320733505155], [2.345297335978985, 48.89320218227103], [2.345287568636167, 48.89319831934219], [2.345307096905523, 48.8931680506085], [2.345322553976049, 48.89316836713906], [2.345319300819913, 48.893162423721144], [2.345318672832803, 48.89316127814897], [2.345306119507219, 48.893161610615905], [2.345290487959364, 48.893130699992575], [2.345298874499653, 48.8931251691482], [2.34529567870295, 48.89311932856568], [2.345287339413415, 48.89312207806514], [2.345285602877066, 48.893126657811266], [2.345276922320236, 48.89312780375159], [2.345276921865033, 48.8931243692382], [2.34523872190356, 48.89311635785831], [2.345240457232545, 48.89310948843222], [2.345228302404302, 48.89310719974739], [2.34522830467211, 48.893114068781685], [2.345209205818505, 48.89311864981866], [2.345188371331055, 48.89312437609135], [2.345144952866737, 48.89305110741508], [2.345150161105698, 48.89304767260697], [2.345148423980058, 48.893040803977655], [2.345139742685272, 48.893043093841776], [2.345096323743454, 48.89296868120129], [2.345103268206921, 48.892965245997736], [2.345098058643004, 48.892958377262445], [2.345092849807214, 48.89296066722811], [2.345047694612991, 48.892888544635134], [2.345052903443553, 48.89288625467125], [2.345047693304166, 48.892878240193426], [2.345044221290735, 48.8928816755005], [2.345000802183057, 48.89280382830004], [2.345023372023721, 48.89279924649533], [2.345035525453237, 48.89279123165839], [2.345040732794283, 48.892780927825335], [2.345038993460575, 48.892767189257064], [2.345026837843793, 48.892758031522], [2.345011211599424, 48.892752308200365], [2.344992112586701, 48.892751165015795], [2.344974750232347, 48.89275345594731], [2.344969539942278, 48.89274773203829], [2.344973012986442, 48.892748876088255], [2.344971275894141, 48.892742007454466], [2.344959120130002, 48.892735139386275], [2.344955649764099, 48.89274429798788], [2.344936550589395, 48.892745444468346], [2.344934814100866, 48.8927397206747], [2.344917451747807, 48.89274201159794], [2.344922661864828, 48.89275002518315], [2.344903563716028, 48.89275575101355], [2.344898353003328, 48.89274659258688], [2.344755984358585, 48.89278323805739], [2.344761195038492, 48.89279239738919], [2.344745569478772, 48.89279583273569], [2.344738623160795, 48.89278781953515], [2.344722997425429, 48.892793544552504], [2.344726471293694, 48.8928015585376], [2.344714316978018, 48.89280270431436], [2.344709106887793, 48.89279469072046], [2.344690009469367, 48.892799271683415], [2.344705638549999, 48.89282102278539], [2.344683067912757, 48.89282674846399], [2.344674388223473, 48.89283476338954], [2.344667444579006, 48.89284506759713], [2.344665710190945, 48.89285651637138]]], ""type"": ""Polygon""}";5584;18;750059942
48.8768047378,2.40161012658;"{""coordinates"": [[[2.401358411360397, 48.8768465292062], [2.401495610965952, 48.87685382890013], [2.401727400872907, 48.87686606188054], [2.40175637444076, 48.87686759164512], [2.401947259645691, 48.87687767002707], [2.401948886782154, 48.87681837272261], [2.401942919675974, 48.87681640935193], [2.401944616836698, 48.87681085817096], [2.401925015671369, 48.876808972376615], [2.401892631573705, 48.87680582930152], [2.401769912394376, 48.876794095881586], [2.401660828352943, 48.87678361940218], [2.401613104565521, 48.876779010113964], [2.401624114132464, 48.87672729519464], [2.40137868021489, 48.87670621721706], [2.401372764111116, 48.87674394781808], [2.401371075722609, 48.876755610884615], [2.401369385353811, 48.87676685305449], [2.401367700667927, 48.876781396694376], [2.401366007864129, 48.876790952607394], [2.401358411360397, 48.8768465292062]]], ""type"": ""Polygon""}";905;19;750066026
48.8457706267,2.3539532991;"{""coordinates"": [[[2.354052227860083, 48.84580026939562], [2.354060742365874, 48.84579471775259], [2.353993457326855, 48.84576318353805], [2.354046242875171, 48.84572860937189], [2.354010470069581, 48.845710629578384], [2.353957663329443, 48.84568337802458], [2.353954256959653, 48.84568555676591], [2.353959368402721, 48.84568752248857], [2.353828253814018, 48.84577451995669], [2.353910872769489, 48.84581813543364], [2.35398071462096, 48.845854799057356], [2.354052227860083, 48.84580026939562]]], ""type"": ""Polygon""}";4941;5;750007580
