Geo Point;Geo Shape;N_SQ_SPVP;N_SQ_CA;N_SQ_PC
48.8848192269,2.32546800633;"{""coordinates"": [[[2.325587774742246, 48.8848140396132], [2.325424159642564, 48.884745313745086], [2.325415634302713, 48.88475444608042], [2.325404552949272, 48.88476582673001], [2.325401994667252, 48.88476835562326], [2.325380684239404, 48.884791958997646], [2.325349994752276, 48.88482511706974], [2.325509349895576, 48.884892999744935], [2.325587774742246, 48.8848140396132]]], ""type"": ""Polygon""}";489;17;750053638
48.8814357525,2.30117769794;"{""coordinates"": [[[2.301256763720658, 48.88155277586668], [2.301278090664889, 48.88152327531611], [2.301276386381705, 48.88152285347369], [2.301307102591611, 48.881470310971295], [2.301316489360285, 48.88145345284145], [2.301346351795254, 48.881402034909506], [2.301120566410867, 48.88134013961268], [2.301081360972566, 48.881348136968114], [2.300990963468721, 48.88143803653529], [2.301146013880037, 48.88150412468515], [2.301256763720658, 48.88155277586668]]], ""type"": ""Polygon""}";727;17;750057201
48.8785392362,2.31917657055;"{""coordinates"": [[[2.319368601599716, 48.87852720602689], [2.319267217683072, 48.87846796494879], [2.319244215272169, 48.87845482344568], [2.319169231369824, 48.87843942576946], [2.319089136729443, 48.87842332537385], [2.31903626355799, 48.87853713155247], [2.319015795239773, 48.87858202241679], [2.319188751208774, 48.878664317839636], [2.319239892634381, 48.878624982107006], [2.319259498204589, 48.87861030220693], [2.31928592114651, 48.87859000244336], [2.319305525785553, 48.878575391779044], [2.319368601599716, 48.87852720602689]]], ""type"": ""Polygon""}";821;8;750016602
48.8791570135,2.30050488209;"{""coordinates"": [[[2.30062446298675, 48.879188539549325], [2.300576768472284, 48.879153888218084], [2.300550366031064, 48.87913463022762], [2.300466899501285, 48.87907348129702], [2.300384202614067, 48.879126287414195], [2.300393571709126, 48.87913296489083], [2.300546027922368, 48.879240574756295], [2.300564783669345, 48.87922856666028], [2.30062446298675, 48.879188539549325]]], ""type"": ""Polygon""}";790;17;750056937
48.8815581159,2.30107554974;"{""coordinates"": [[[2.301256763720658, 48.88155277586668], [2.301146013880037, 48.88150412468515], [2.300990963468721, 48.88143803653529], [2.300901418526758, 48.881528498595365], [2.300954210980148, 48.881587950781274], [2.301121174114394, 48.881680459945265], [2.301174890122704, 48.881640430200086], [2.301191943763305, 48.88162778975208], [2.301240544515716, 48.88159225467693], [2.301243955209203, 48.88158958646887], [2.301256763720658, 48.88155277586668]]], ""type"": ""Polygon""}";721;17;750054980
48.8780537159,2.336778611;"{""coordinates"": [[[2.336922668242726, 48.87810512029146], [2.336797406322533, 48.877945920384924], [2.33663464889665, 48.87800191505398], [2.336721565973048, 48.87811305984973], [2.336759911018101, 48.87816160616281], [2.336857906811022, 48.87812767213099], [2.336922668242726, 48.87810512029146]]], ""type"": ""Polygon""}";842;9;750019070
48.8735442487,2.35254655857;"{""coordinates"": [[[2.352688232635439, 48.87356185589543], [2.352609812249865, 48.873460206878384], [2.352528875920032, 48.873487055917444], [2.352406191467515, 48.87352543249095], [2.352453926378933, 48.87359097452736], [2.352473532515658, 48.87361766949564], [2.352481205000166, 48.873628136117475], [2.352688232635439, 48.87356185589543]]], ""type"": ""Polygon""}";1065;10;750021019
48.8751773101,2.28691228965;"{""coordinates"": [[[2.28690452510371, 48.87525144139597], [2.286944576202357, 48.87524822740014], [2.286936083869399, 48.875219910480816], [2.286971955123144, 48.87513639177141], [2.286904651759292, 48.875124981108776], [2.286843283341683, 48.875144344394286], [2.286884976671539, 48.87520162098457], [2.286891784689835, 48.8752112494312], [2.28690452510371, 48.87525144139597]]], ""type"": ""Polygon""}";958;16;750052988
48.8778798569,2.39041476104;"{""coordinates"": [[[2.390333289247777, 48.87795464260767], [2.390477291117165, 48.87794705707584], [2.390634072990775, 48.87793876300041], [2.390733766894368, 48.877933516505706], [2.390715759709077, 48.877829757248215], [2.390709756354617, 48.87779315632111], [2.390599837341426, 48.87779903963168], [2.390583648863256, 48.877799960875876], [2.390415789010449, 48.87780896290612], [2.390099668532649, 48.87782597342808], [2.390115155901456, 48.87796619678754], [2.390333289247777, 48.87795464260767]]], ""type"": ""Polygon""}";855;19;750066175
48.8745238433,2.34721167107;"{""coordinates"": [[[2.347299203033362, 48.87458787865601], [2.347277020193138, 48.87444940638344], [2.347122798548427, 48.874459256667926], [2.347144123294524, 48.87457489551902], [2.347148388502458, 48.874599765664236], [2.347299203033362, 48.87458787865601]]], ""type"": ""Polygon""}";1002;9;750020155
48.8743994325,2.36373610551;"{""coordinates"": [[[2.363589046752486, 48.874470652964185], [2.363770530449176, 48.87445676965395], [2.363902575534439, 48.87440931557491], [2.363938355700086, 48.874395536321146], [2.363836917524773, 48.87431841974506], [2.363773883139157, 48.87435307159192], [2.363583017454884, 48.874349393162596], [2.363583048345879, 48.874405668357014], [2.363589046752486, 48.874470652964185]]], ""type"": ""Polygon""}";1008;10;750022191
48.8750764569,2.34738873677;"{""coordinates"": [[[2.347243073738166, 48.87511044701177], [2.347255870150569, 48.87518295025567], [2.347256722840048, 48.875185408295344], [2.347506378184583, 48.87516430844233], [2.347462024098716, 48.87494595685561], [2.34731035636743, 48.87495882868887], [2.347341061262867, 48.87510270919846], [2.347243073738166, 48.87511044701177]]], ""type"": ""Polygon""}";963;9;750018007
48.8706908994,2.34640957802;"{""coordinates"": [[[2.346298161658194, 48.870793591500906], [2.346448109870311, 48.870765897645846], [2.346589538469228, 48.870743543244025], [2.346605725810057, 48.87073988855447], [2.346529868781012, 48.870588634392874], [2.346368844727647, 48.87061857737549], [2.346366288603954, 48.87061639960417], [2.34634243295815, 48.87062068778985], [2.346206968389009, 48.87064254926265], [2.346298161658194, 48.870793591500906]]], ""type"": ""Polygon""}";1321;2;750002807
48.8705920349,2.30856357393;"{""coordinates"": [[[2.308802354526852, 48.87051926995785], [2.308785326918686, 48.87049615201722], [2.308772556591985, 48.870479427813976], [2.308744463404058, 48.87044056949582], [2.308715485360477, 48.870456369994564], [2.308294465282275, 48.87068635518419], [2.30841031248512, 48.87072853741283], [2.308671958544498, 48.87058893283467], [2.308751217985271, 48.87054693885466], [2.308802354526852, 48.87051926995785]]], ""type"": ""Polygon""}";1326;8;750017291
48.8715765825,2.35102027169;"{""coordinates"": [[[2.351007459243419, 48.871706906424734], [2.351136107977974, 48.87168230007506], [2.351032095296536, 48.87144576219835], [2.350905150766737, 48.87147029763896], [2.350946927732009, 48.871567175260616], [2.350953748000539, 48.871583403045086], [2.351007459243419, 48.871706906424734]]], ""type"": ""Polygon""}";1215;10;750023300
