Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
2200;61-77 ET 66-72 RUE ARMAND CARREL;75019;Paris;2012;RIVP;79;0;0;0;79;acquisition conventionnement;;19;logement familial;654042.7487;6864959.2592;"{""coordinates"": [2.373331142207688, 48.88300918275291], ""type"": ""Point""}";48.88300918275291,2.373331142207688
2229;42 BIS, RUE DE SEVRES 65-79, RUE VANEAU 4, IMPASSE OUDINOT (HOPITAL LAENNEC);75007;Paris;2012;SNC LAENNE;50;0;0;0;50;construction neuve;;7;résidence pour étudiants;650167.7297;6861180.5306;"{""coordinates"": [2.32093735112619, 48.848739604628484], ""type"": ""Point""}";48.848739604628484,2.32093735112619
2242;55, BD MASSENA;75013;Paris;2013;ADOMA;225;225;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;13;Résidence sociale issue du plan de traitement des foyers de travailleurs migrants;653887.521;6858202.3563;"{""coordinates"": [2.371947381754324, 48.82223355471431], ""type"": ""Point""}";48.82223355471431,2.371947381754324
2539;12-14, RUE DU PLATRE;75004;Paris;2014;PARIS HAB;25;6;11;0;8;acquisition conventionnement;;4;logement familial;652670.8655;6862332.4417;"{""coordinates"": [2.354917705961765, 48.859287389043324], ""type"": ""Point""}";48.859287389043324,2.354917705961765
2562;34, AVENUE DE VERSAILLES;75016;Paris;2014;PARIS HAB;295;74;133;0;88;acquisition conventionnement;;16;logement familial;646843.3318;6861301.8607;"{""coordinates"": [2.275623189310208, 48.84956503033369], ""type"": ""Point""}";48.84956503033369,2.275623189310208
3415;83, RUE DOUDEAUVILLE ILOT CUSTINE;75018;Paris;2018;RIVP;33;0;33;0;0;construction neuve;;18;logement familial;652266.376;6865562.853;"{""coordinates"": [2.349041913913427, 48.88830787087829], ""type"": ""Point""}";48.88830787087829,2.349041913913427
3453;1, RUE DES TANNERIES;75013;Paris;2018;PARIS HAB;103;0;0;0;103;acquisition conventionnement;;13;logement familial;651969.36;6859555.343;"{""coordinates"": [2.345670474258328, 48.83426107612609], ""type"": ""Point""}";48.83426107612609,2.345670474258328
3030;36, RUE DOUDEAUVILLE;75018;Paris;2016;SIEMP;3;0;3;0;0;acquisition réhabilitation;;18;logement familial;652741.572;6865606.165;"{""coordinates"": [2.355517197637202, 48.88873241433134], ""type"": ""Point""}";48.88873241433134,2.355517197637202
3082;1 AVENUE PIERRE MASSE 19 BD JOURDAN CIUP NOUVELLE MAISON;75014;Paris;2017;FOND.AM;220;0;0;0;220;construction neuve;;14;résidence pour étudiants;651138.698;6857638.617;"{""coordinates"": [2.334574799252681, 48.81696125275263], ""type"": ""Point""}";48.81696125275263,2.334574799252681
3095;106, RUE DU POTEAU;75018;Paris;2017;IMM 3F;10;0;0;0;10;construction neuve;;18;logement familial;651450.518;6866597.341;"{""coordinates"": [2.337798017180362, 48.8975496031673], ""type"": ""Point""}";48.8975496031673,2.337798017180362
