Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN10927;2021-06-30;;IRIS;135 rue Lecourbe 75015;"Terrasse estivale sur trottoir face à la devanture (L=2,40m l=0,60m) ; Terrasse estivale sur trottoir face à la devanture (L=1,90m l=0,60m)";15;75115;48.84189999980073,2.30050699971852
DSN10936;2021-06-30;;AL KARAM;15 rue Ferdinand Fabre 75015;Contre-terrasse permanente sur stationnement (L=10,00m l=1,75m);15;75115;48.838456000143736,2.297091000197997
DSN12652;2021-06-30;;ESPOT;150 rue de Rivoli 75001;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,50m);1;75101;48.8608220000575,2.341460999972342
DSN6233;2021-06-26;;LA P'TITE MOUSSE;29 rue de Douai 75009;Contre-terrasse estivale sur stationnement (L=4,50m l=1,70m);9;75109;48.88244800031346,2.332768999971827
DSN6326;2021-06-26;;AN JAPONAISE;11 rue Poissonniere 75002;"Terrasse estivale sur trottoir face à la devanture (L=4,30m l=0,40m) ; Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,30m l=0,40m)";2;75102;48.86905500002867,2.347700000368082
DSN8910;2021-06-28;;MIMI CAVE A MANGER;105 rue du Cherche Midi 75006;Contre-terrasse estivale sur stationnement (L=5,00m l=1,80m);6;75106;48.846344000197575,2.320644999870365
DSN12848;2021-06-30;;ROUGE DO CANTINE VIET;3 rue Sainte marthe 75010;Terrasse estivale sur trottoir face à la devanture (L=3,70m l=0,80m);10;75110;48.873531000101934,2.3708129997347003
DSN6356;2021-06-26;;SAS CAFE BRASSERIE LE SUFFREN;84 avenue de Suffren 75015;"Contre-terrasse estivale sur trottoir face à la devanture (L=23,00m l=1,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=23,00m l=1,00m)";15;75115;48.85121000016423,2.300550000139514
DSN6477;2021-06-26;;O CORSE;24 rue Brezin 75014;Contre-terrasse estivale sur aire piétonne provisoire (L=12,00m l=1,50m);14;75114;48.831353999885394,2.327551000459921
DSN8967;2021-06-29;;WRAP'N ROLL;10 rue de Budapest 75009;Contre-terrasse estivale sur voie piétonne (L=7,28m l=1,07m);9;75109;48.876410000445496,2.327603999838095
DSN9009;2021-06-29;;LE HAVANE;188 avenue de Versailles 75016;Contre-terrasse estivale sur trottoir face à la devanture (L=14,00m l=2,00m);16;75116;48.839459999980946,2.261704000201426
DSN11108;2021-06-30;;LA CANTINE DU TROQUET;101 rue de l'Ouest 75014;Contre-terrasse estivale sur stationnement (L=9,00m l=2,00m);14;75114;48.83414299999923,2.315871000579152
DSN11109;2021-06-30;;AU PETIT VERSAILLES DU MARAIS;1 rue Tiron 75004;Contre-terrasse estivale sur trottoir face à la devanture (L=8,40m l=2,00m);4;75104;48.85567700006959,2.357689000027966
DSN11193;2021-06-30;;CAFE FOUFOU;55 rue de Bretagne 75003;Terrasse estivale sur trottoir face à la devanture (L=10,00m l=1,30m);3;75103;48.86376900002202,2.360787000394145
DSN12932;2021-06-30;;PEPPE PIZZERIA;2 place Saint blaise 75020;Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=10,00m);20;75120;48.86025499966535,2.4036160004864042
DSN12920;2021-06-30;;LE DIWANE CAFE;165 rue de la Roquette 75011;Contre-terrasse estivale sur stationnement (L=6,00m l=1,70m);11;75111;48.85957600005971,2.387467999761306
DSN6690;2021-06-27;;BARRACAO;108 rue Oberkampf 75011;"Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m) ; Terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,00m)";11;75111;48.865930000322194,2.378855999919656
DSN11287;2021-06-30;;LA SCALA;5 rue Paul louis Courier 75007;Contre-terrasse estivale sur trottoir face à la devanture (L=9,00m l=1,70m);7;75107;48.856047000432646,2.324941000632132
DSN11293;2021-06-30;;BOUILLON47;47 rue de Rochechouart 75009;Contre-terrasse permanente sur stationnement (L=9,90m l=1,70m);9;75109;48.87906100025654,2.345419999619352
DSN12992;2021-06-30;;LE TIKI LOUNGE;26b rue de la Fontaine au Roi 75011;Contre-terrasse estivale sur stationnement (L=7,00m l=1,70m);11;75111;48.86823799994681,2.371216999638452
DSN13014;2021-06-30;;LE VERRE TAQUIN ET LA TAQUINERIE;22 rue Juliette Dodu 75010;Contre-terrasse estivale sur places et terre-pleins (L=3,60m l=2,60m);10;75110;48.87597399994166,2.368780000287522
DSN13037;2021-06-30;;DIETETIC SHOP;11 rue Delambre 75014;Contre-terrasse estivale sur stationnement (L=5,00m l=2,00m);14;75114;48.8416609998073,2.328274999836966
DSN9201;2021-06-29;;LE PETIT CERVANTES;36 rue des 5 Diamants 75013;"Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m) ; Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,00m)";13;75113;48.828553000135564,2.350346000214307
DSN9315;2021-06-29;;PIZZA MAMMA;31 rue Petion 75011;Contre-terrasse estivale sur stationnement (L=5,00m l=1,35m);11;75111;48.85961899983973,2.3807019995750123
DSN11462;2021-06-30;;IPPUDO;76 rue Jean jacques Rousseau 75001;Contre-terrasse estivale sur trottoir face à la devanture (L=19,00m l=60,00m);1;75101;48.86457199988296,2.344714999592096
DSN11454;2021-06-30;;MONSIEUR LA MOTTE;34 rue Letellier 75015;Contre-terrasse estivale sur stationnement (L=10,00m l=1,80m);15;75115;48.847640999792745,2.296842999835463
DSN13119;2021-06-30;;LE CHANTEREINE;51 rue de la Victoire 75009;Terrasse estivale sur trottoir face à la devanture (L=8,50m l=2,19m);9;75109;48.87515499974791,2.33554799934945
DSN7028;2021-06-27;;RESTAURANT LE PERA;15 rue de Castellane 75008;Contre-terrasse estivale sur stationnement (L=5,40m l=1,90m);8;75108;48.87238400000491,2.324559000362886
DSN11610;2021-06-30;;PASTALAND GASTRONOMIEA;15 rue Guy Moquet 75017;Contre-terrasse permanente sur stationnement (L=10,60m l=1,86m);17;75117;48.89169200018646,2.320836999935197
DSN7103;2021-06-27;;MICHEL CABRILLAC;12 rue Delambre 75014;Contre-terrasse estivale sur stationnement (L=11,00m l=1,50m);14;75114;48.841785999976146,2.328180999911265
DSN9532;2021-06-29;;LES GAMINS;6 place du Marche Sainte catherine 75004;"Contre-terrasse estivale sur places et terre-pleins (L=3,00m l=3,50m) ; Contre-terrasse estivale sur places et terre-pleins (L=4,40m l=3,20m)";4;75104;48.855506999897464,2.363027999859296
DSN9634;2021-06-29;;BRIOCHE DOREE;144 avenue des Champs Elysees 75008;Contre-terrasse estivale sur voie piétonne (L=5,00m l=4,00m);8;75108;48.87300899967801,2.298598999570213
DSN4605;2021-06-25;;LA VÉRAISON;64 rue de la Croix Nivert 75015;Contre-terrasse estivale sur places et terre-pleins (L=3,50m l=3,20m);15;75115;48.844992999779855,2.297231000228462
DSN4591;2021-06-25;;RAVIOLI NORD EST;11 rue Civiale 75010;Contre-terrasse permanente sur stationnement (L=7,00m l=1,80m);10;75110;48.87268499957962,2.375254999736807
DSN7432;2021-06-28;;FUXIA;15 rue Jean Poulmarch 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=11,90m l=2,40m);10;75110;48.872668000199745,2.363198999569421
DSN9688;2021-06-29;;LES CHIMERES;133 rue Saint antoine 75004;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=2,00m) ; Contre-terrasse estivale sur places et terre-pleins (L=6,00m l=4,00m)";4;75104;48.85523000023204,2.359907999484219
DSN4760;2021-06-25;;LA BOUTIQUE SOLDATS;11 rue Ferdinand Duval 75004;Contre-terrasse estivale sur stationnement (L=4,50m l=2,00m);4;75104;48.856484999761875,2.3594039997019
DSN4767;2021-06-25;;L¿ÉPICERIE CANTINE;43 rue de Montreuil 75011;Contre-terrasse permanente sur stationnement (L=5,00m l=1,80m);11;75111;48.85050000030716,2.387997999912063
DSN9882;2021-06-29;;FUXIA;407 rue de Vaugirard 75015;Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=3,00m);15;75115;48.83283599992231,2.288782000661698
DSN9896;2021-06-29;;SWADEE;20 rue du Debarcadere 75017;"Contre-terrasse permanente sur stationnement (L=9,50m l=1,70m) ; Terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,60m)";17;75117;48.87800700017619,2.285562000032767
DSN11780;2021-06-30;;STARBUCKS COFFEE;7 boulevard Poissonniere 75002;Terrasse estivale sur trottoir face à la devanture (L=18,40m l=3,50m);2;75102;48.87069099994194,2.346866000118863
DSN4995;2021-06-25;;LAVINIA;22 avenue Victor Hugo 75116;Terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,50m);16;75116;48.87227200031973,2.291159999372685
DSN5079;2021-06-25;;LE CAFE ST VICTOR;11 rue Monge 75005;Terrasse estivale sur trottoir face à la devanture (L=9,50m l=8,00m);5;75105;48.848394000370725,2.35040899989154
DSN5096;2021-06-25;;FUXIA;10 rue de Bretagne 75003;"Contre-terrasse estivale sur trottoir face à la devanture (L=9,25m l=2,00m) ; Contre-terrasse estivale sur stationnement (L=9,25m l=2,00m)";3;75103;48.86247500040641,2.363588000383952
DSN10001;2021-06-29;;RESTAURANT FELLINI;47 rue de l'Arbre Sec 75001;Contre-terrasse estivale sur stationnement (L=7,40m l=1,80m);1;75101;48.861223999889475,2.342405999706877
DSN10032;2021-06-29;;FONTAINE FOOD;9 rue Pierre Fontaine 75009;Contre-terrasse estivale sur stationnement (L=5,00m l=2,00m);9;75109;48.881106000112375,2.334438000381883
DSN10099;2021-06-29;;LE TEMPS DES CERISES SCOP;20 rue de la Butte aux Cailles 75013;Contre-terrasse estivale sur trottoir face à la devanture (L=28,00m l=2,30m);13;75113;48.827869999966374,2.35049599964022
DSN11987;2021-06-30;;MA CONFISERIE PARIS;75 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=6,00m l=2,00m);11;75111;48.863449999679936,2.378851000574087
DSN10096;2021-06-29;;LE BARAV;6 rue Charles francois Dupuis 75003;"Contre-terrasse estivale sur voie piétonne (L=13,60m l=1,00m) ; Contre-terrasse estivale sur voie piétonne (L=13,60m l=1,80m) ; Contre-terrasse estivale sur voie piétonne (L=13,60m l=1,00m)";3;75103;48.86517799966698,2.363198000551403
DSN30344;2021-08-20;;LÉON;30 boulevard des Italiens 75009;Contre-terrasse estivale sur trottoir face à la devanture (L=14,40m l=2,50m);9;75109;48.87139099972763,2.335605000030971
DSN26122;2021-08-03;;BO BUN CAY OT;111 avenue d'Ivry 75013;Contre-terrasse estivale sur stationnement (L=6,00m l=2,50m);13;75113;48.82551799990707,2.36104499934925
DSN26197;2021-08-03;;CHEZ MAMANE;27 rue des Cinq Diamants 75013;"Contre-terrasse estivale sur stationnement (L=11,80m l=1,80m) ; Terrasse estivale sur trottoir face à la devanture (L=11,70m l=0,80m)";13;75113;48.82863099966685,2.350643999848713
DSN26232;2021-08-03;;MCDONALD'S;84 boulevard de Magenta 75010;Terrasse estivale sur trottoir face à la devanture (L=11,50m l=2,00m);10;75110;48.876258000124935,2.356338999645229
DSN28409;2021-08-11;;LE GOUT DES CHOSES;12 boulevard de Reuilly 75012;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=2,00m);12;75112;48.8389169996021,2.390824000042866
DSN32546;2021-09-06;;LE CAMELIA;37 boulevard Garibaldi 75015;"Terrasse estivale sur trottoir face à la devanture (L=5,90m l=0,60m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=2,80m l=1,80m)";15;75115;48.84668300026458,2.306519999862623
DSN32578;2021-09-07;;DES CRÊPES ET DES CAILLES;13 rue de la Butte aux Cailles 75013;Contre-terrasse permanente sur stationnement (L=6,70m l=1,80m);13;75113;48.82768900012085,2.35012900011674
DSN24643;2021-07-29;;YEO HYEON SOUK  ( SEOUL OPERA );5 rue Danielle Casanova 75002;Contre-terrasse estivale sur stationnement (L=7,00m l=1,50m);2;75102;48.86772294100547,2.333030291524873
DSN30847;2021-08-24;;TORIYOSHI;71 rue Marguerite de Rochechouart 75009;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=2,00m);9;75109;48.881209258237185,2.346383691510911
DSN43123;2022-02-08;;LE RENDEZ-VOUS;10 boulevard de la Villette 75019;Contre-terrasse estivale sur voie piétonne (L=5,00m l=5,00m);19;75119;48.87311299988961,2.376224000494763
DSN43159;2022-02-08;;PAPILLA;9 rue Soufflot 75005;"Contre-terrasse permanente sur stationnement (L=10,00m l=1,70m) ; Contre-terrasse permanente sur stationnement (L=6,65m l=1,50m)";5;75105;48.84672400039085,2.343001000087845
DSN37686;2021-10-31;;CAFÉ DE LA NOUVELLE MAIRIE;19 rue des Fosses Saint jacques 75005;Contre-terrasse permanente sur stationnement (L=9,00m l=1,50m);5;75105;48.84541200044357,2.344852999560468
DSN37805;2021-11-01;;MATIGON;3 avenue Matignon 75008;Contre-terrasse permanente sur stationnement (L=16,50m l=1,90m);8;75108;48.86974900035184,2.311158000385627
DSN43234;2022-02-09;;AUX DÉS CALÉS 18;11 rue Hegesippe Moreau 75018;Contre-terrasse estivale sur stationnement (L=9,76m l=1,88m);18;75118;48.887196000414264,2.326995999661494
DSN43337;2022-02-09;;BARBOT;47 avenue Trudaine 75009;Contre-terrasse estivale sur stationnement (L=7,20m l=1,80m);9;75109;48.880771000012494,2.341309000192842
DSN43364;2022-02-09;;PASTAVINO;87 rue du Bac 75007;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);7;75107;48.8541339999997,2.324002000536521
DSN35255;2021-10-08;;COCORICO;5 rue du Bac 75007;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,50m l=0,65m);7;75107;48.85910399978603,2.329086999580546
DSN35264;2021-10-08;;LE SERPENT A PLUME;24 place des Vosges 75003;Contre-terrasse permanente sur stationnement (L=9,00m l=1,85m);3;75103;48.856137999781986,2.36668599933945
DSN37860;2021-11-01;;COQUELICOT;24 rue des Abbesses 75018;Contre-terrasse permanente sur stationnement (L=8,00m l=3,00m);18;75118;48.88485800044458,2.337807999564407
DSN37889;2021-11-01;;MOKI BAR;61 rue des Vignoles 75020;Contre-terrasse permanente sur stationnement (L=14,00m l=1,80m);20;75120;48.85493799997993,2.400978999354373
DSN37995;2021-11-02;;37993?CABANA;12 boulevard de Sebastopol 75004;Contre-terrasse estivale sur trottoir face à la devanture (L=5,50m l=2,30m);4;75104;48.859307000186305,2.348890999859483
DSN40580;2022-01-28;;TA SUSHI;7 rue Marie Stuart 75002;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=7,00m l=0,80m);2;75102;48.8649719998243,2.347912999668386
DSN40616;2022-01-28;;LE PASSAGE SAINT HONORÉ;23 rue Danielle Casanova 75001;Contre-terrasse estivale sur stationnement (L=5,10m l=1,70m);1;75101;48.867908999884555,2.331666000265852
DSN43389;2022-02-10;;MADEMOISELE;21 rue Duphot 75001;Contre-terrasse permanente sur stationnement (L=9,00m l=2,00m);1;75101;48.86871100000457,2.325359999541376
DSN38076;2021-11-03;;LE LUTECIA;14 avenue de Tourville 75007;Contre-terrasse permanente sur stationnement (L=8,90m l=1,80m);7;75107;48.85420500043144,2.308006999667964
DSN40858;2022-01-29;;RESTAURANT ISTANBUL GRILLADES KEBAB 2;78 rue de Javel 75015;Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=1,00m);15;75115;48.84447399980074,2.284386999716376
DSN43524;2022-02-10;;DEL ARTE;2 boulevard Haussmann 75009;Contre-terrasse estivale sur trottoir face à la devanture (L=4,00m l=3,80m);9;75109;48.87218300025587,2.339808000534072
DSN43635;2022-02-10;;TAÏKOÏ;61 rue Claude Bernard 75005;Terrasse estivale sur trottoir face à la devanture (L=4,20m l=1,20m);5;75105;48.840694000083225,2.3446789997236213
DSN35623;2021-10-14;;AU RENDEZ-VOUS DES AMIS;135 rue du Theatre 75015;Contre-terrasse estivale sur stationnement (L=7,30m l=1,80m);15;75115;48.84548199976501,2.2971999996655352
DSN38238;2021-11-05;;LA MAMMA;46 rue Vavin;Contre-terrasse permanente sur stationnement (L=13,00m l=1,60m);6;75106;48.84286299978184,2.328866999718952
DSN38259;2021-11-05;;LA MONELLA;25 rue Lemercier 75017;Contre-terrasse permanente sur stationnement (L=12,00m l=2,00m);17;75117;48.88637999989498,2.323770999640541
DSN38264;2021-11-06;;CHI MAISONS DU RAVIOLI;26 rue Breguet 75011;Contre-terrasse permanente sur stationnement (L=4,00m l=2,00m);11;75111;48.857647000295714,2.374116999932835
DSN38336;2021-11-08;;THE BE BOP BAR;89 rue Legendre 75017;Contre-terrasse estivale sur stationnement (L=5,55m l=1,80m);17;75117;48.88794599973187,2.320584000386549
DSN38352;2021-11-08;;LA VACHE AU COMPTOIR;13 rue d'Odessa 75014;Contre-terrasse permanente sur stationnement (L=7,60m l=1,80m);14;75114;48.84225699971081,2.32465400029515
DSN40905;2022-01-29;;ZHANG'S GOURMETS;42 rue Pierre Nicole 75005;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,00m);5;75105;48.839783999671454,2.338636000509437
DSN40921;2022-01-30;;CUT STREETFOOD;4 rue Saint bernard 75011;Contre-terrasse estivale sur stationnement (L=4,80m l=1,90m);11;75111;48.8506720000314,2.381561000564536
DSN41006;2022-01-30;;VIET THAI;201 avenue de Choisy 75013;Contre-terrasse estivale sur stationnement (L=9,40m l=1,80m);13;75113;48.8298249996236,2.356831999841448
DSN41066;2022-01-30;;L4EXPRESS DE LYON;1 rue de Lyon 75012;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,50m);12;75112;48.8459369998662,2.372108999397407
DSN43760;2022-02-11;;LE CABANON;75 place du Docteur Felix Lobligeois 75017;Contre-terrasse estivale sur places et terre-pleins (L=12,00m l=2,60m);17;75117;48.8866670001861,2.317365000518146
DSN35643;2021-10-14;;LE SANGLIER BLEU;102 boulevard de Clichy 75018;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);18;75118;48.884279999899434,2.331509000478559
DSN35707;2021-10-15;;CAFÉ BELLOY;37 avenue Kleber 75116;Contre-terrasse permanente sur stationnement (L=15,00m l=2,00m);16;75116;48.86904500015708,2.291892000246954
DSN38384;2021-11-08;;CASA DELL'ESTELLE;14 rue de Castellane 75008;Contre-terrasse permanente sur stationnement (L=11,40m l=1,70m);8;75108;48.872592999763135,2.324291000579036
DSN38427;2021-11-09;;FLORYA KEBAB;17 rue de la Roquette 75011;Contre-terrasse estivale sur stationnement (L=8,50m l=1,80m);11;75111;48.85446800030372,2.371657999478283
DSN41132;2022-01-31;;PRESTO FRESCO;14 rue Montmartre 75001;Contre-terrasse estivale sur stationnement (L=12,00m l=2,00m);1;75101;48.86380200007507,2.3457879995137922
DSN41155;2022-01-31;;ORIENT EXTREME MONTAIGNE;21 rue Bayard 75008;Contre-terrasse estivale sur stationnement (L=5,50m l=2,00m);8;75108;48.866942000419925,2.307650999891417
DSN41171;2022-01-31;;LE CAFE PARISIEN;111 rue Monge 75005;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,50m);5;75105;48.83975700008044,2.351480000338556
DSN41236;2022-01-31;;HYANG-LY;3 rue de Hanovre 75002;Contre-terrasse permanente sur stationnement (L=6,20m l=1,70m);2;75102;48.87014099978946,2.33551699983859
DSN43925;2022-02-12;;LEZARD CAFE;32 rue Etienne Marcel 75002;Terrasse estivale sur trottoir face à la devanture (L=15,25m l=1,63m);2;75102;48.86460699990894,2.346372999733532
DSN43968;2022-02-13;;HOUSE OF 3 BROTHERS;23 rue de Lancry 75010;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);10;75110;48.870059999606866,2.36077499978872
DSN43986;2022-02-13;;VAN APRIL;3 rue Mouffetard 75005;Terrasse estivale sur trottoir face à la devanture (L=2,60m l=0,70m);5;75105;48.844899000041934,2.349266999796702
DSN44037;2022-02-13;;ROYEL ETOILE;5 rue Brey 75017;Contre-terrasse estivale sur stationnement (L=9,00m l=2,00m);17;75117;48.87613800022542,2.296085000298401
DSN35876;2021-10-19;;LA CASCADE;57 avenue Philippe auguste 75011;Contre-terrasse permanente sur stationnement (L=8,50m l=1,80m);11;75111;48.85301700015681,2.392802000354058
DSN38508;2021-11-12;;MAISON BARTHOUIL;41 rue Charlot 75003;Contre-terrasse permanente sur stationnement (L=4,50m l=1,60m);3;75103;48.863053000186774,2.362687999621123
DSN38524;2021-11-13;;LE MARYLAND;147 rue du Chevaleret 75013;Contre-terrasse estivale sur stationnement (L=10,00m l=1,80m);13;75113;48.832262000069385,2.371624999760229
DSN38567;2021-11-16;;LES FILS A MAMAN;57 rue des Batignolles 75017;Contre-terrasse permanente sur stationnement (L=12,99m l=1,80m);17;75117;48.88598499982495,2.319057999788843
DSN38573;2021-11-16;;DIVELLEC;18 rue Fabert 75007;Contre-terrasse estivale sur stationnement (L=32,00m l=1,80m);7;75107;48.860974000299464,2.311359999922825
DSN38587;2021-11-17;;P'TIT BISTROT;8 rue saint Martin 75004;Contre-terrasse estivale sur stationnement (L=13,00m l=2,00m);4;75104;48.85758700017891,2.349564000173471
DSN41251;2022-01-31;;LE BISTRO 21;21 boulevard Pereire 75017;"Contre-terrasse estivale sur trottoir face à la devanture (L=0,90m l=0,40m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=0,90m l=0,40m)";17;75117;48.88773499982831,2.311157999715593
DSN41283;2022-01-31;;O'TACOS;116b Cours de Vincennes 75012;Contre-terrasse estivale sur stationnement (L=4,50m l=2,20m);12;75112;48.84672400016941,2.410352999447862
DSN41373;2022-01-31;;BOKKO;11 place du Commerce 75015;"Contre-terrasse estivale sur places et terre-pleins (L=3,00m l=1,70m) ; Contre-terrasse estivale sur places et terre-pleins (L=3,00m l=1,70m) ; Contre-terrasse estivale sur places et terre-pleins (L=3,00m l=1,70m)";15;75115;48.845263000380534,2.293003000530731
DSN44218;2022-02-14;;IL PINOCCHIO;115 avenue Gambetta 75020;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,20m);20;75120;48.8674730002605,2.40053300041691
DSN35996;2021-10-21;;COUTUME;47 rue de Babylone 75007;Contre-terrasse permanente sur stationnement (L=8,85m l=1,75m);7;75107;48.85166899997603,2.31836200021477
DSN41409;2022-02-01;;RAPHAEL H;36 rue de Berri 75008;"Contre-terrasse estivale sur stationnement (L=7,00m l=2,00m) ; Terrasse estivale sur trottoir face à la devanture (L=10,00m l=1,00m)";8;75108;48.87375899982091,2.306766999744851
DSN41438;2022-02-01;;LE TALON CACHÉ;4 rue Gounod 75017;Contre-terrasse permanente sur stationnement (L=7,15m l=1,70m);17;75117;48.88302899971592,2.300823000009915
DSN44329;2022-02-15;;JO AND JOE PARIS NATION;59 rue de Buzenval 75020;Contre-terrasse estivale sur stationnement (L=11,60m l=1,78m);20;75120;48.852433999818516,2.4009579997721833
DSN44440;2022-02-15;;LE RASPAIL;58 boulevard Raspail 75006;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);6;75106;48.849788999589656,2.327109999636805
DSN36188;2021-10-26;;AU 41 PENTHIÈVRE;41 rue de Penthievre 75008;Contre-terrasse permanente sur stationnement (L=16,96m l=1,78m);8;75108;48.87228200041219,2.313628999582155
DSN36325;2021-10-26;;LE DISCOBAR;92 rue Rebeval 75019;Contre-terrasse permanente sur stationnement (L=9,30m l=1,80m);19;75119;48.87367299961309,2.382858999898296
DSN38912;2021-11-30;;BISTROT BLERIOT;9 Quai Louis Bleriot 75016;Contre-terrasse permanente sur stationnement (L=14,51m l=1,80m);16;75116;48.85075400017106,2.278071999524001
DSN38920;2021-11-30;;LE COURLIS;74 avenue du General Leclerc 75014;Contre-terrasse estivale sur trottoir face à la devanture (L=5,50m l=2,00m);14;75114;48.82919399960684,2.327759000630003
DSN38966;2021-12-02;;CRÊPERIE LE PETIT JOSSELIN;59 rue du Montparnasse 75014;Terrasse estivale sur trottoir face à la devanture (L=18,00m l=2,00m);14;75114;48.84190299961649,2.325522000401716
DSN41600;2022-02-01;;PIZZERIA REBELLATO;138 rue de la Pompe 75116;Contre-terrasse estivale sur stationnement (L=6,60m l=1,80m);16;75116;48.86863600027564,2.2817420005205022
DSN41678;2022-02-02;;BISTRO MON REVE;68 avenue Felix Faure 75015;Contre-terrasse estivale sur stationnement (L=6,50m l=1,70m);15;75115;48.84022200002813,2.28542899978568
DSN44532;2022-02-16;;MCDONALD'S;7 place Gambetta 75020;Contre-terrasse estivale sur voie piétonne (L=3,00m l=8,00m);20;75120;48.86477599974688,2.397906999900032
DSN44535;2022-02-16;;LE CIRE JAUNE;114 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=6,00m l=1,70m);11;75111;48.866925999604135,2.376347999470439
DSN44554;2022-02-16;;BRIOCHE DOREE;125 rue Saint lazare 75008;Terrasse estivale sur trottoir face à la devanture (L=11,00m l=2,00m);8;75108;48.87522800033316,2.325092999852089
DSN36390;2021-10-26;;GOURMANDISES DE PARIS;7 rue Broca 75005;Contre-terrasse permanente sur stationnement (L=6,00m l=1,20m);5;75105;48.8387850001504,2.349006000448884
DSN36505;2021-10-27;;LE MARLOU;45 rue Rodier 75009;Contre-terrasse permanente sur stationnement (L=7,00m l=1,80m);9;75109;48.88027799965227,2.343712000567729
DSN41851;2022-02-02;;CHEZ MARIE;219 rue Saint maur 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=1,80m);10;75110;48.8732289997193,2.370624000435316
DSN36688;2021-10-27;;LIBSHOP;2 rue Saint philippe du Roule 75008;Contre-terrasse permanente sur stationnement (L=5,60m l=1,80m);8;75108;48.87338799988111,2.308878000561884
DSN36742;2021-10-27;;CHEZ MEUNIER;150 avenue Victor Hugo 75116;Terrasse estivale sur trottoir face à la devanture (L=3,70m l=2,50m);16;75116;48.86690899987029,2.27850400012881
DSN41931;2022-02-03;;MARCELLE;9 rue Antoine Vollon 75012;Contre-terrasse estivale sur stationnement (L=5,00m l=2,00m);12;75112;48.85068299978162,2.376844000161821
DSN41951;2022-02-03;;Ô SAINT HONORE;97 rue du Faubourg Saint honore 75008;Terrasse estivale sur trottoir face à la devanture (L=2,00m l=0,60m);8;75108;48.872134000064285,2.312374000389816
DSN41981;2022-02-03;;BOULANGERIE MAISON LANDEMAINE;210 rue des Pyrenees 75020;Terrasse estivale sur trottoir face à la devanture (L=6,30m l=0,60m);20;75120;48.86547100006556,2.398201000606342
DSN41987;2022-02-03;;PAIN D'ÉPICES;12 rue Jean du Bellay 75004;Contre-terrasse estivale sur stationnement (L=3,80m l=1,70m);4;75104;48.85320199982361,2.353931000658304
DSN36787;2021-10-27;;LA GOURMANDISE;28 rue Augereau 75007;Contre-terrasse permanente sur stationnement (L=10,00m l=2,00m);7;75107;48.856443999632084,2.302582000266118
DSN36903;2021-10-27;;MERCERIE MULLOT;19 rue Brea 75006;Contre-terrasse permanente sur stationnement (L=4,00m l=1,90m);6;75106;48.84289400031339,2.330029999320483
DSN19975;2021-07-19;;MONO - TERRAIN VAGUE;51 rue Sedaine 75011;Contre-terrasse estivale sur stationnement (L=9,10m l=1,90m);11;75111;48.85735800023081,2.375479999818932
DSN20002;2021-07-19;;LA GRISETTE;27 rue du Faubourg du Temple 75010;"Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,70m) ; Terrasse estivale sur trottoir face à la devanture (L=1,50m l=1,20m)";10;75110;48.86864199971335,2.366756000264318
DSN20052;2021-07-19;;WILD AND THE MOON;55 rue Charlot 75003;Contre-terrasse permanente sur stationnement (L=6,00m l=1,50m);3;75103;48.86339400041051,2.363083000443956
DSN22335;2021-07-26;;RANNOUCH EXPRESS;54b rue Ordener 75018;Contre-terrasse estivale sur trottoir face à la devanture (L=2,50m l=1,00m);18;75118;48.89195600002896,2.348002999359108
