Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN41418;2022-02-01;;BIOBURGER;45 rue des Petits Carreaux 75002;"Contre-terrasse estivale sur voie piétonne (L=10,00m l=2,50m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=1,60m) ; Contre-terrasse estivale sur aire piétonne provisoire (L=10,00m l=3,00m)";2;75102;48.86823000008388,2.3474789996002112
DSN41448;2022-02-01;;EXPRESS BAR;31 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=7,00m l=1,70m);11;75111;48.86090799985908,2.3812119997269923
DSN41545;2022-02-01;;LIBSHOP;2 rue Saint philippe du Roule 75008;Contre-terrasse estivale sur stationnement (L=6,80m l=2,00m);8;75108;48.87338799988111,2.308878000561884
DSN41534;2022-02-01;;HOLLYWOOD SAVOY;44 rue Notre dame des Victoires 75002;Contre-terrasse estivale sur stationnement (L=11,00m l=1,80m);2;75102;48.869133000051924,2.342250000447077
DSN44282;2022-02-15;;BERLINER DAS ORIGINAL;10 rue Gomboust 75001;Terrasse estivale sur trottoir face à la devanture (L=5,30m l=0,60m);1;75101;48.8674089999998,2.332767000668357
DSN44287;2022-02-15;;CAFE CHARBON;109 rue Oberkampf 75011;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,00m l=4,00m);11;75111;48.865834000236006,2.377822000250019
DSN44426;2022-02-15;;MÈRE MICHEL;2 place Saint michel 75006;Contre-terrasse estivale sur places et terre-pleins (L=7,00m l=7,00m);6;75106;48.853786000076944,2.343705999434339
DSN36156;2021-10-25;;FOGATA LATINA;2 rue Thibaud 75014;Contre-terrasse permanente sur stationnement (L=10,00m l=2,00m);14;75114;48.82970500003097,2.328034999361912
DSN38864;2021-11-29;;RESTAURANT OGGI;15 rue d'Odessa 75014;Contre-terrasse permanente sur stationnement (L=6,50m l=1,80m);14;75114;48.842132999670255,2.324689999374006
DSN41614;2022-02-01;;41614BRUTTI E CATTIVI;6 rue du Surmelin 75020;Contre-terrasse estivale sur voie piétonne (L=7,00m l=1,60m);20;75120;48.86800900000852,2.4021260004866942
DSN36528;2021-10-27;;HITE;34b rue du Faubourg Poissonniere 75010;Contre-terrasse estivale sur stationnement (L=11,00m l=1,70m);10;75110;48.87328500004841,2.348001999351801
DSN39043;2021-12-04;;LA GOULETTE;59 rue de la Verrerie 75004;Terrasse estivale sur trottoir face à la devanture (L=1,30m l=4,50m);4;75104;48.85796099994721,2.352830999850386
DSN41896;2022-02-03;;FUXIA;13 rue de Medicis 75006;Contre-terrasse estivale sur trottoir face à la devanture (L=11,50m l=2,00m);6;75106;48.84802899986382,2.339990999676186
DSN36580;2021-10-27;;BISTRO LES COUSINS;1 rue Trousseau 75011;Contre-terrasse permanente sur stationnement (L=11,00m l=1,80m);11;75111;48.85092399968459,2.378465000436678
DSN36639;2021-10-27;;LA PETITE PENA;30 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=5,30m l=1,70m);11;75111;48.86086400025429,2.381497999876149
DSN39232;2021-12-14;;CAFÉ DE L'ESPLANADE;52 rue Fabert 75007;Contre-terrasse estivale sur stationnement (L=13,00m l=2,00m);7;75107;48.85828700039545,2.311053999359938
DSN39274;2021-12-16;;LA MAISON;28 place Saint ferdinand 75017;"Contre-terrasse permanente sur stationnement (L=9,20m l=1,80m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=6,80m l=1,30m) ; Terrasse estivale sur trottoir face à la devanture (L=11,00m l=0,60m)";17;75117;48.87820699979071,2.2883190001574683
DSN41953;2022-02-03;;LAND AND MONKEYS;85 rue Raymond Losserand 75014;Terrasse estivale sur trottoir face à la devanture (L=4,50m l=0,60m);14;75114;48.833623999877396,2.317661000422671
DSN42006;2022-02-03;;DOSE BATIGNOLLES;2b rue des Moines 75017;"Contre-terrasse estivale sur stationnement (L=9,00m l=1,80m) ; Terrasse estivale sur trottoir face à la devanture (L=9,00m l=0,70m)";17;75117;48.887198999586566,2.317935000202327
DSN42065;2022-02-03;;IL TEATRO;3 place Charles Michels 75015;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=4,50m);15;75115;48.84713800026466,2.285609000516291
DSN36943;2021-10-27;;LE BARIBAL;186 rue de Vaugirard 75015;Contre-terrasse permanente sur stationnement (L=12,00m l=1,80m);15;75115;48.84187299998707,2.308906000349832
DSN22354;2021-07-26;;LES SARDIGNAC;27 rue Richer 75009;Contre-terrasse estivale sur stationnement (L=2,40m l=1,70m);9;75109;48.87398399985841,2.345115000500139
DSN22405;2021-07-26;;LES FILS A MAMAN GRANDS BOULEVARDS;7 rue Geoffroy marie 75009;Contre-terrasse estivale sur stationnement (L=10,00m l=1,80m);9;75109;48.8734730002218,2.34369800039964
DSN24459;2021-07-28;;BREAKFAST IN AMERICA;17 rue des Ecoles 75005;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=1,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=0,80m l=0,80m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=0,80m l=0,80m)";5;75105;48.847797999551744,2.351161999759503
DSN24458;2021-07-28;;L'IMPREVU;31 rue de Sambre et meuse 75010;Contre-terrasse estivale sur stationnement (L=7,30m l=1,80m);10;75110;48.87461400023801,2.373201999830966
DSN24554;2021-07-28;;PRINCE DU SUD;30 rue de la Reine Blanche 75013;Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,60m);13;75113;48.836134000364595,2.352980999790468
DSN18077;2021-07-09;;L¿IMPREVU;35 rue Didot 75014;"Contre-terrasse estivale sur places et terre-pleins (L=5,40m l=8,00m) ; Contre-terrasse estivale sur places et terre-pleins (L=0,50m l=3,00m)";14;75114;48.83248800017592,2.320675999508241
DSN18102;2021-07-09;;LA SCENE;32 avenue Matignon 75008;Terrasse estivale sur trottoir face à la devanture (L=6,70m l=2,00m);8;75108;48.87202699975333,2.314513000035648
DSN18101;2021-07-09;;LA FONTAINE D¿ITALIE;23 rue Moliere 75001;Contre-terrasse estivale sur stationnement (L=7,00m l=2,00m);1;75101;48.865475999844236,2.336359999987549
DSN20197;2021-07-20;;L'ENOTECA;25 rue Charles v 75004;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=10,00m l=1,90m);4;75104;48.853353000401775,2.361765999778763
DSN24575;2021-07-28;;SAKURA RAMEN;109 avenue du Maine 75014;Terrasse estivale sur trottoir face à la devanture (L=7,40m l=1,60m);14;75114;48.83627199957943,2.323688000353807
DSN24645;2021-07-29;;CHOCO FACTORY;13 rue de Medicis 75006;"Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=1,50m l=1,00m)";6;75106;48.84802899986382,2.339990999676186
DSN18234;2021-07-09;;MAISON LANDEMAINE;26 rue des Martyrs 75009;Terrasse estivale sur trottoir face à la devanture (L=2,50m l=0,60m);9;75109;48.878323999815734,2.339752999444345
DSN18245;2021-07-09;;CHEZ COLETTE;74 rue Daguerre 75014;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=1,67m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=1,67m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=1,67m)";14;75114;48.83550500028441,2.325617000104008
DSN18314;2021-07-10;;L'ETABLI;2 rue Lamande 75017;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);17;75117;48.886170000140446,2.3203640001941253
