N_SQ_EPP;N_SQ_CA;N_SQ_PC;geo_shape;geo_point_2d
14;3;750004352;"{""coordinates"": [2.352300571512502, 48.86252065579059], ""type"": ""Point""}";48.8625206558,2.35230057151
44;9;750018269;"{""coordinates"": [2.342923694955911, 48.8783700301963], ""type"": ""Point""}";48.8783700302,2.34292369496
11;3;750004352;"{""coordinates"": [2.35240504622413, 48.862735503909875], ""type"": ""Point""}";48.8627355039,2.35240504622
33;6;750011578;"{""coordinates"": [2.338157012450142, 48.85007786995691], ""type"": ""Point""}";48.85007787,2.33815701245
15;3;750004352;"{""coordinates"": [2.352894574941754, 48.86211381030543], ""type"": ""Point""}";48.8621138103,2.35289457494
45;10;750021085;"{""coordinates"": [2.363002858105429, 48.871213329158614], ""type"": ""Point""}";48.8712133292,2.36300285811
79;18;750064746;"{""coordinates"": [2.349851017170102, 48.886343716077945], ""type"": ""Point""}";48.8863437161,2.34985101717
108;11;750026872;"{""coordinates"": [2.383967984716064, 48.851908642795884], ""type"": ""Point""}";48.8519086428,2.38396798472
8;2;750002016;"{""coordinates"": [2.336400187241257, 48.86852627215957], ""type"": ""Point""}";48.8685262722,2.33640018724
17;3;750004798;"{""coordinates"": [2.35580997881565, 48.86824148343461], ""type"": ""Point""}";48.8682414834,2.35580997882
67;11;750025999;"{""coordinates"": [2.375001260767646, 48.851918773106775], ""type"": ""Point""}";48.8519187731,2.37500126077
97;20;0;"{""coordinates"": [2.401434650942746, 48.86809173888108], ""type"": ""Point""}";48.8680917389,2.40143465094
