N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750003861;75056;RUE;;CHARLES BAUDELAIRE;R. Charles Baudelaire;Rue Charles Baudelaire;750561801;O;O;1810;"{""coordinates"": [[2.376054959783351, 48.84850393064433], [2.37617291978178, 48.848554996002456], [2.376472574803967, 48.84899254120683], [2.37700203568684, 48.84977553273634], [2.377772832497214, 48.850885321012434]], ""type"": ""LineString""}";643;P;750001537;294.8322447;48.84967006358496,2.3769330518378715
750001699;75056;RUE;;CORTAMBERT;R. Cortambert;Rue Cortambert;750562347;O;O;2344;"{""coordinates"": [[2.280977009063355, 48.862821018285786], [2.27930663293846, 48.861209309592354], [2.278109301293514, 48.860144408133955], [2.277244704686027, 48.85938472958465]], ""type"": ""LineString""}";657;P;750001537;470.18710864;48.86108211001668,2.279130007838987
750006601;75056;RUE;DES;DUNES;R. des Dunes;Rue des Dunes;750562988;O;O;3017;"{""coordinates"": [[2.37866267662261, 48.87524846505275], [2.379664890481928, 48.876312967469886]], ""type"": ""LineString""}";682;P;750001537;139.33738635;48.87578071626132,2.3791637835522694
750006374;75056;RUE;DES;MESSAGERIES;R. des Messageries;Rue des Messageries;750566290;O;O;6206;"{""coordinates"": [[2.3511194331633902, 48.87609079401244], [2.348604730952138, 48.876531913532034]], ""type"": ""LineString""}";736;P;750001537;190.85426755;48.87631135377224,2.349862082057764
750006375;75056;RUE;;MICHEL BREAL;R. Michel Bréal;Rue Michel Bréal;750566328;O;O;6251;"{""coordinates"": [[2.371552369051182, 48.821594710356294], [2.371152507489528, 48.82212267874421]], ""type"": ""LineString""}";742;P;750001537;65.63760869;48.82185869455025,2.371352438270355
750001401;75056;AV;;GUSTAVE V DE SUEDE;Av. Gustave V de Suède;Avenue Gustave V de Suède;750564405;O;O;4360;"{""coordinates"": [[2.28942837021784, 48.86198957757975], [2.291163782320681, 48.86086996667139]], ""type"": ""LineString""}";758;P;750001537;178.07312528;48.86142977212557,2.290296076269261
750004028;75056;RUE;DES;AMIRAUX;R. des Amiraux;Rue des Amiraux;750560293;O;O;0288;"{""coordinates"": [[2.352835395822049, 48.894215459966055], [2.352028179888871, 48.89437590436222], [2.3509006080826182, 48.89460924371279], [2.350666168746193, 48.89463840125318], [2.350121463176934, 48.89472434788939], [2.349436155541887, 48.89486219700149]], ""type"": ""LineString""}";823;P;750001537;259.55690798;48.894545525441366,2.3511369465963603
750003786;75056;COUR;DU;COQ;Cour du Coq;Cour du Coq;750562314;O;O;2314;"{""coordinates"": [[2.3687912916672, 48.85908537614098], [2.3700275080669, 48.85940246381629]], ""type"": ""LineString""}";839;V;750001537;97.31332954;48.85924391997864,2.36940939986705
750003783;75056;RUE;;CONSTANCE;R. Constance;Rue Constance;750562281;O;O;2284;"{""coordinates"": [[2.334031819211527, 48.88510775234336], [2.333922730005663, 48.885129521735465], [2.333201760680926, 48.885542801228276], [2.333828984045228, 48.886169351459145]], ""type"": ""LineString""}";858;P;750001537;161.89477157;48.885574968817785,2.333564767507558
750003848;75056;RUE;;CHANGARNIER;R. Changarnier;Rue Changarnier;750561744;O;O;1748;"{""coordinates"": [[2.410950660092282, 48.845403796045126], [2.412135519568979, 48.84524392872099], [2.412388755164645, 48.84522534382749], [2.412145637346216, 48.84529464090246], [2.41095688049578, 48.84545382810989], [2.41067656174555, 48.84545776008022], [2.410950660092282, 48.845403796045126]], ""type"": ""LineString""}";881;P;750001537;257.4780627;48.84534942058376,2.4115338474947365
750005904;75056;RUE;;CHARLES V;R. Charles V;Rue Charles V;750561813;O;O;1822;"{""coordinates"": [[2.363827727615894, 48.85240965831997], [2.363322698757674, 48.85264961404424], [2.363284418415902, 48.85267146698664], [2.362910589045208, 48.852864008129835], [2.361722849182268, 48.85342533451642], [2.361672371422283, 48.85344919397757]], ""type"": ""LineString""}";887;P;750001537;195.93180166;48.852932661423274,2.3627516597488625
750004568;75056;RUE;DE;LILLE;R. de Lille;Rue de Lille;750565686;O;O;5625;"{""coordinates"": [[[2.332750064071559, 48.85763064052551], [2.332693546577783, 48.857634226759096], [2.330986623037755, 48.858143515995955], [2.329700283188406, 48.85852509927215], [2.328766667739975, 48.858802025980125], [2.327406297758566, 48.85920218427291], [2.326426165341303, 48.85949577860808], [2.324591716272857, 48.860032317456], [2.323605296074827, 48.86032105781886], [2.321425246877767, 48.86097141706733], [2.320577538054264, 48.861215733712825]], [[2.320357753743057, 48.86144797686506], [2.320302578820979, 48.86137208839995], [2.320199606056393, 48.861337433419], [2.319343938495853, 48.8615867765324]]], ""type"": ""MultiLineString""}";894;P;750001537;1064.72053316;48.859581861371446,2.326124643741035
750002936;75056;RUE;;PAUL STRAUSS;R. Paul Strauss;Rue Paul Strauss;750567182;O;O;7124;"{""coordinates"": [[2.406502923888043, 48.86605378811459], [2.4073486487061633, 48.86648923776542], [2.408241413045822, 48.86711278812588]], ""type"": ""LineString""}";899;P;750001537;174.07784229;48.86655413425098,2.407389746712273
750006253;75056;SQ;DU;DOCTEUR BLANCHE;Sq. du Docteur Blanche;Square du Docteur Blanche;750562818;O;O;2836;"{""coordinates"": [[2.264552389930459, 48.85261006053926], [2.265396274658733, 48.85189263670569]], ""type"": ""LineString""}";912;V;750001537;100.98729592;48.852251348622474,2.264974332294596
750003640;75056;RUE;DU;DOCTEUR BABINSKI;R. du Docteur Babinski;Rue du Docteur Babinski;750562819;O;O;2837;"{""coordinates"": [[[2.330281472465732, 48.90097107078334], [2.330964945961525, 48.901011402033475], [2.331212112042968, 48.90099304155884], [2.33145742150555, 48.9009906061069], [2.331680427710022, 48.90100040950888], [2.331744125608425, 48.901019745913764], [2.335134552720401, 48.90109291933495]], [[2.331306894688654, 48.90103224501193], [2.331414681551591, 48.90102980437102], [2.331524322665983, 48.90103593278098], [2.331632107634011, 48.90104819486492], [2.331696708602989, 48.901047343073536], [2.331744125608425, 48.901019745913764]], [[2.331306894688654, 48.90103224501193], [2.331334146100316, 48.90105979125032]], [[2.331158484685505, 48.901056473982415], [2.331230698593048, 48.90103959776077], [2.331306894688654, 48.90103224501193]], [[2.331743684044293, 48.90106859523957], [2.331744125608425, 48.901019745913764]]], ""type"": ""MultiLineString""}";913;P;750001537;410.46015374;48.901037877760835,2.3325537900518727
