N_SQ_CA;NUMEVP;TEXTE;geo_shape;geo_point_2d
6;57;6-57;"{""coordinates"": [[[2.317729565067685, 48.84696571671061], [2.317729068231328, 48.84696567520469], [2.317722548424668, 48.846962608072054], [2.317901370241303, 48.846782221851946], [2.317922240404027, 48.84679143249277], [2.3179840022165052, 48.84673376942165], [2.317861405978525, 48.846678086155045], [2.317816207043102, 48.846723288510304], [2.317835760706461, 48.846732924253494], [2.317785952814865, 48.8467793989949], [2.317814163638625, 48.84679215452986], [2.317719855018084, 48.84688939001714], [2.317674893939978, 48.84693555238887], [2.317674361400734, 48.84693532361175], [2.317674359222441, 48.84693548998135], [2.317665724482706, 48.846943667201955], [2.317653330331801, 48.84693840089769], [2.317606733801862, 48.84699008859004], [2.317700781328099, 48.84702179777544], [2.317748620595141, 48.84697531185152], [2.317729062556446, 48.84696610866495], [2.317729565067685, 48.84696571671061]]], ""type"": ""Polygon""}";48.8468412172,2.31779981033
6;10;6-10;"{""coordinates"": [[[2.329455310992043, 48.85085203006919], [2.329607762933612, 48.85082660692025], [2.329762769477539, 48.85080090199884], [2.329793429416219, 48.850795494127446], [2.329821535115816, 48.85079106932926], [2.329809618464517, 48.85074554363014], [2.3297968496410553, 48.850706198939214], [2.329790890663335, 48.85068687882604], [2.32977812178604, 48.85064648098225], [2.329772162155212, 48.850630391357804], [2.329751731021978, 48.850566106803164], [2.329744070605183, 48.85054271115535], [2.329710002331674, 48.85055205259959], [2.329665714294228, 48.850563853181605], [2.329597578127962, 48.85058260706713], [2.329537108286778, 48.85059918425766], [2.329518370437607, 48.850604241571475], [2.329157250402382, 48.85070398244936], [2.329207486321677, 48.85078520093507], [2.329141054767679, 48.85080002043116], [2.329172558256327, 48.8508480779878], [2.329288389312573, 48.85081717248465], [2.329331813196879, 48.85088715031895], [2.329455310992043, 48.85085203006919]]], ""type"": ""Polygon""}";48.8507257307,2.32950633568
15;31;15-31;"{""coordinates"": [[[2.292642204256735, 48.84878517854854], [2.292773396154853, 48.84873949300856], [2.29277850015282, 48.848745677522295], [2.293153338974772, 48.848609173953236], [2.293045291947606, 48.84848513030367], [2.292976286353618, 48.848511731320215], [2.292835718379634, 48.84856654686819], [2.292676410361069, 48.84862774846199], [2.292537547066847, 48.84868031633351], [2.292427798766763, 48.84855570985735], [2.2923255679070023, 48.84859606762262], [2.292399583487358, 48.84868005176466], [2.292435315913741, 48.84872018223551], [2.292286230978572, 48.8487766096876], [2.292239374584414, 48.84879457699666], [2.292219780143459, 48.848801876332416], [2.292126920721815, 48.84883717828014], [2.292110734719031, 48.848843354673356], [2.291979538396908, 48.84889311447637], [2.29196164798088, 48.84890006320902], [2.29191819916991, 48.848916555815634], [2.291861120623838, 48.84893803205041], [2.291838970673636, 48.84894645389253], [2.291767407776109, 48.848973825114996], [2.291741850262008, 48.84898329970806], [2.291589354501832, 48.84904141128874], [2.291476900255916, 48.84908366120423], [2.291614722180578, 48.84924038639342], [2.291851559046324, 48.84915027103548], [2.291812184130273, 48.84910563012308], [2.292056079408903, 48.84901047203467], [2.292642204256735, 48.84878517854854]]], ""type"": ""Polygon""}";48.848842339,2.29229734451
5;30;5-30;"{""coordinates"": [[[2.34696405268267, 48.84139723851843], [2.346507202863247, 48.841146663107104], [2.34633948043846, 48.841274262284564], [2.346415576387708, 48.84131414306253], [2.346500410617834, 48.84125000970881], [2.346801838367838, 48.84141619554485], [2.34674174824355, 48.84146464801547], [2.346829529138502, 48.84150795954772], [2.34696405268267, 48.84139723851843]]], ""type"": ""Polygon""}";48.8413148143,2.34667222584
15;112;15-112;"{""coordinates"": [[[2.306835724245198, 48.839953197408136], [2.306833168120916, 48.839955866313346], [2.306793122760889, 48.83999920328795], [2.3067752289447823, 48.84001908087211], [2.30673518340175, 48.84006262917612], [2.306732626677066, 48.840065649728736], [2.306960772465979, 48.84015205382264], [2.307059604635176, 48.84005203466558], [2.306835724245198, 48.839953197408136]]], ""type"": ""Polygon""}";48.8400547444,2.30689549807
12;58;12-58;"{""coordinates"": [[[2.387401356235114, 48.83469181471988], [2.387333422769407, 48.834641252485206], [2.387212433060456, 48.83455067632708], [2.387199655127302, 48.83454260290896], [2.386994628356276, 48.834699223712285], [2.3870150727305672, 48.834710385290634], [2.387154776865048, 48.834786270155114], [2.387192207335769, 48.83475639434145], [2.3872695872063883, 48.834798280297555], [2.387401356235114, 48.83469181471988]]], ""type"": ""Polygon""}";48.8346813526,2.38720312906
13;83;13-83;"{""coordinates"": [[[2.355995241988997, 48.824958356749406], [2.35598164802773, 48.825026296173675], [2.356072730647221, 48.82503147960044], [2.356084618898463, 48.82495286168137], [2.355998642947959, 48.82494844954764], [2.355995241988997, 48.824958356749406]]], ""type"": ""Polygon""}";48.8249900717,2.35603409459
14;4;14-4;"{""coordinates"": [[[2.321899866752589, 48.82384399728553], [2.321856487269999, 48.823739170429704], [2.322098946860112, 48.82367743562095], [2.322002789096831, 48.8234508266486], [2.32193100336963, 48.82356702073266], [2.321758728051187, 48.82351250272052], [2.321679921235357, 48.82361437916133], [2.321843233763128, 48.82366527771041], [2.321662365450287, 48.823897150044594], [2.321899866752589, 48.82384399728553]]], ""type"": ""Polygon""}";48.8236645597,2.32187905445
13;46;13-46;"{""coordinates"": [[[2.351288292150798, 48.82307115130656], [2.351251770670832, 48.823350563545276], [2.351244124913019, 48.82340325619592], [2.351896150805348, 48.823437173670015], [2.351987218717614, 48.823404492746114], [2.351990623361989, 48.82340343823791], [2.351994879197008, 48.82340217249144], [2.351998284114204, 48.8234007672271], [2.352002539840483, 48.823399291025346], [2.352005944158547, 48.82339760515165], [2.352009347997482, 48.82339584822437], [2.3520119014199112, 48.82339402103421], [2.352015304659725, 48.823391983497615], [2.35201785798433, 48.82338994495298], [2.352021261889382, 48.82338741546008], [2.3520255163555372, 48.82338341019992], [2.352028068863384, 48.823380670135855], [2.352029771553689, 48.82337814041818], [2.352031472380542, 48.823375541438324], [2.352033174090076, 48.823372871412346], [2.352034876083694, 48.82336984973109], [2.352035725767266, 48.82336570460535], [2.352036575177733, 48.82336191023549], [2.352037425969517, 48.82335910069198], [2.352037425484924, 48.823356290133255], [2.352037424782969, 48.82335305866449], [2.352036571401257, 48.823348843152765], [2.352035719066829, 48.82334399538403], [2.352034015367271, 48.823339920964], [2.3520323121888262, 48.82333690061771], [2.352030609227681, 48.8233343011815], [2.352028055155308, 48.82333113951898], [2.352024648767965, 48.82332959481655], [2.352020392455815, 48.82332805000534], [2.352015285032739, 48.82332594296772], [2.352011879529095, 48.823324327218806], [2.352007622836128, 48.82332292270806], [2.352004218792282, 48.82332151832064], [2.351999961227933, 48.82332018395641], [2.351996556802715, 48.823318919869656], [2.3519931510157708, 48.82331765577544], [2.351987192513593, 48.82331597042982], [2.3519812335217543, 48.82331421492971], [2.3519769778107262, 48.82331295072613], [2.351973572132968, 48.8233118970864], [2.351967612857441, 48.823310493240854], [2.351961654955304, 48.82330908850315], [2.351955695680418, 48.82330768465704], [2.351950588399167, 48.82330677199131], [2.351947182830664, 48.823305928805844], [2.35194122464491, 48.82330487572233], [2.351935265587493, 48.82330389278526], [2.351930159275953, 48.82330312132628], [2.351925903008461, 48.82330255953206], [2.351921646250993, 48.82330192758359], [2.351914836004729, 48.82330115588318], [2.35190887802522, 48.82330052460743], [2.351902919663947, 48.82330003363233], [2.351898663493842, 48.823299683191465], [2.351894407825107, 48.823299402005325], [2.351888449560898, 48.82329912238381], [2.351883341722585, 48.823298912126454], [2.351879085660745, 48.823298772139964], [2.351874830088934, 48.82329870230748], [2.351870573155141, 48.823298632467456], [2.351866318062167, 48.82329863368815], [2.351862062108369, 48.82329870415609], [2.351857806154457, 48.82329877462388], [2.351851847223184, 48.82329898695675], [2.351846739767087, 48.82329863639688], [2.351843334911002, 48.82329554476725], [2.351839077670026, 48.82329210315628], [2.3518356712373, 48.823288590608975], [2.351833117862085, 48.823285921805045], [2.351830563734112, 48.82328353270354], [2.351828859804983, 48.823280792956034], [2.351824603018317, 48.82327643847821], [2.3518228999729702, 48.823273627684536], [2.351821196141195, 48.82327109929124], [2.351818641906697, 48.823268499734404], [2.351816939437187, 48.823265971348434], [2.351816087285219, 48.82326330187225], [2.351813531663068, 48.82325971838822], [2.351811828499912, 48.82325669803858], [2.351810976348358, 48.82325402856234], [2.351809274273028, 48.823251358976], [2.35180757063176, 48.82324826757282], [2.351806718238791, 48.82324419326671], [2.351805014070579, 48.823240048688895], [2.35180331099009, 48.823236254874374], [2.351803310518117, 48.82323344431535], [2.351802457673287, 48.82323028287544], [2.351801605878646, 48.823226489178445], [2.351800754110287, 48.82322367940115], [2.351800752072294, 48.8232204470253], [2.351799900622797, 48.82321553000686], [2.351799899074761, 48.82321236778514], [2.351799898075746, 48.82320850405144], [2.351799897388614, 48.82320527258218], [2.351800747685715, 48.823201408066744], [2.351800745610383, 48.82319719267034], [2.351801596181839, 48.82319297739885], [2.351802445391167, 48.82318876211997], [2.351803295090265, 48.82318461699522], [2.351804146188621, 48.82318145489831], [2.35180584741355, 48.823178714720946], [2.351806696826621, 48.823174921251436], [2.3518083983368863, 48.82317182941869], [2.3518092487668882, 48.82316915927793], [2.351810951353237, 48.82316641910786], [2.351812651667788, 48.823162766056626], [2.35181435415715, 48.823159814532104], [2.351816055870762, 48.82315714450871], [2.351817756496752, 48.823154123721906], [2.351885844479972, 48.823130227546095], [2.351911369270834, 48.82309221606136], [2.351288292150798, 48.82307115130656]]], ""type"": ""Polygon""}";48.8232621072,2.35159009601
19;21;19-21;"{""coordinates"": [[[2.371781852086944, 48.8872331376034], [2.37159426593591, 48.88729175237508], [2.371672406464497, 48.88739447948155], [2.371789576133231, 48.88755213967614], [2.37198726978122, 48.88781814727167], [2.372293821690643, 48.887722583670744], [2.372182054733793, 48.88755948444179], [2.372090023427257, 48.88758171338711], [2.371965468806949, 48.88741201417811], [2.371923716201588, 48.88742664031746], [2.371781852086944, 48.8872331376034]]], ""type"": ""Polygon""}";48.8875460445,2.37193819279
14;91;14-91;"{""coordinates"": [[[2.325298731812091, 48.82742278959135], [2.325286818121433, 48.82740417002313], [2.325271494520381, 48.8274097892185], [2.325250214839647, 48.827400935305235], [2.325247664635522, 48.82738737539557], [2.325127649410387, 48.827334952518235], [2.325075709363749, 48.82738539147678], [2.324962483235142, 48.82742008625757], [2.324911403300098, 48.82743553702689], [2.324975225289016, 48.827529686138035], [2.325098668514772, 48.82748873987558], [2.325298731812091, 48.82742278959135]]], ""type"": ""Polygon""}";48.8274334104,2.32509351132
15;46;15-46;"{""coordinates"": [[[2.308045061511404, 48.840073543735336], [2.307721065777694, 48.840514750288385], [2.307870411479771, 48.840561214263865], [2.308027565748712, 48.840346721996035], [2.308192635080641, 48.840120820903365], [2.308045061511404, 48.840073543735336]]], ""type"": ""Polygon""}";48.8403178236,2.30795713214
18;134;18-134;"{""coordinates"": [[[2.33573711162515, 48.887587691625185], [2.335719215125819, 48.88755509334106], [2.335714502221269, 48.887545671020405], [2.335649140908969, 48.887565216797256], [2.335726086325738, 48.887677870774894], [2.335765803580859, 48.88773649613035], [2.3356849014869, 48.88776047483166], [2.3357081287649812, 48.88779297948164], [2.335617784098242, 48.887821221621635], [2.335631420114389, 48.88783555431859], [2.335714946720806, 48.887803517852795], [2.3357686417860872, 48.887782019637555], [2.335798473874314, 48.887733262617076], [2.335739667858984, 48.887635325196015], [2.33573711162515, 48.887587691625185]]], ""type"": ""Polygon""}";48.8876866181,2.33572196402
20;6;20-6;"{""coordinates"": [[[2.4081877467875232, 48.86233181347008], [2.408291624995929, 48.862297393093066], [2.4086143246439002, 48.86218976943119], [2.408733528331347, 48.8621502109166], [2.408833147306791, 48.86211677628694], [2.408861056520105, 48.86197751168974], [2.408872893438059, 48.861915397762054], [2.4086445720994663, 48.86189896116943], [2.408658953689559, 48.86182883680251], [2.408607445116401, 48.86182378338734], [2.4086116444199552, 48.861771454345444], [2.408445880131448, 48.86175992751921], [2.408461763441173, 48.8616315125403], [2.40833204781245, 48.861621352662304], [2.408334870756147, 48.86156445714996], [2.408287141846754, 48.86154755546125], [2.408311592118416, 48.861370424993154], [2.407523554391206, 48.86131260342833], [2.4075066470930633, 48.86140429761116], [2.407686409737248, 48.86142111751362], [2.407661060963568, 48.861566071241896], [2.407514529346708, 48.861556537722436], [2.407497580202965, 48.86161858396405], [2.407527399550827, 48.86162207804677], [2.40820298078576, 48.861667253641], [2.408182699484206, 48.86178079959934], [2.408505599512149, 48.861814460211406], [2.408458238655851, 48.862053711852184], [2.408189029988524, 48.862038143402444], [2.408200007966697, 48.86197047995155], [2.40808840542765, 48.86196450768599], [2.408060494678558, 48.86210468583846], [2.4080332298995613, 48.862100908644216], [2.407832170069244, 48.862085367093755], [2.407780197606279, 48.86207949802424], [2.407797122017792, 48.86199946571006], [2.407557979272623, 48.86198158940935], [2.4075332817479422, 48.862092114066016], [2.407873961332172, 48.862120539381415], [2.407827427270462, 48.86234433333339], [2.408088127227924, 48.86236510636059], [2.4081877467875232, 48.86233181347008]]], ""type"": ""Polygon""}";48.8618486503,2.40816177246
20;104;20-104;"{""coordinates"": [[[2.390618190391839, 48.85925127333533], [2.390220344832565, 48.859204530383224], [2.390216086792513, 48.85920488371308], [2.39021183823075, 48.8592147917388], [2.390206726744055, 48.85921423148106], [2.390200783163505, 48.85923236078053], [2.39064464171628, 48.85929418719727], [2.390657730416496, 48.859257956259675], [2.390650564909961, 48.85925751057104], [2.390651415277431, 48.85925519189161], [2.390618190391839, 48.85925127333533]]], ""type"": ""Polygon""}";48.8592479436,2.39043956852
15;62;15-62;"{""coordinates"": [[[2.294496805029436, 48.8548678189806], [2.294335044029658, 48.854746083105475], [2.294524039115047, 48.85463654768121], [2.294492078522144, 48.85461416487592], [2.29444270884381, 48.85457866749176], [2.294221191719421, 48.85465727180033], [2.294151395961349, 48.85460371071386], [2.294114756795085, 48.854619855704286], [2.294466070510151, 48.854885928012415], [2.294496805029436, 48.8548678189806]]], ""type"": ""Polygon""}";48.8546898547,2.29434810297
16;214;16-214;"{""coordinates"": [[[2.279113963125881, 48.8556318179397], [2.279020914378655, 48.85570359908202], [2.279081041323452, 48.85573696153195], [2.279051299508718, 48.855760910345914], [2.279342529969359, 48.8559189462692], [2.279170311706499, 48.85606084675286], [2.279206061898277, 48.856080606971695], [2.279223085947365, 48.85608988927318], [2.279265645833526, 48.85611414861309], [2.279290330992249, 48.85612786052312], [2.279326077086122, 48.85615127387486], [2.279337994067265, 48.8561587977327], [2.279548576653903, 48.85598677645084], [2.279522192582893, 48.85596828596248], [2.279606585636458, 48.855908399422226], [2.279547852209514, 48.85587584156758], [2.279536786908749, 48.85586951360763], [2.279512102581334, 48.855855450100535], [2.279113963125881, 48.8556318179397]]], ""type"": ""Polygon""}";48.8558955123,2.27932039031
20;124;20-124;"{""coordinates"": [[[2.400716870352801, 48.85364074579371], [2.400416687263194, 48.85401095104105], [2.400564967806282, 48.854075011726124], [2.400909457696788, 48.85371939417822], [2.400716870352801, 48.85364074579371]]], ""type"": ""Polygon""}";48.8538541662,2.40065868753
16;205;16-205;"{""coordinates"": [[[2.27188828529599, 48.85568795687993], [2.271714764717093, 48.85550828441308], [2.271513851507167, 48.855588741290994], [2.27155447360314, 48.85563219474531], [2.271598700664094, 48.85568013455096], [2.271649734161084, 48.85573461184411], [2.271687159242496, 48.85577503023293], [2.271772383207625, 48.85573784326267], [2.271826072442295, 48.855715532208755], [2.27188828529599, 48.85568795687993]]], ""type"": ""Polygon""}";48.8556405411,2.27170100663
16;126;16-126;"{""coordinates"": [[[2.274890082081944, 48.850726464837976], [2.274913941244284, 48.85071622088321], [2.274806711435116, 48.85065208941891], [2.27491578108062, 48.85060662209124], [2.274814557241429, 48.85050743654834], [2.274737867479592, 48.85053978318984], [2.274668846362316, 48.85056897183854], [2.274665437972657, 48.850570445019066], [2.274614402859452, 48.85051906075031], [2.274530897492565, 48.85055210521526], [2.2744771671933712, 48.85061228590714], [2.274761480337248, 48.85072632483716], [2.274803216212852, 48.85072325646151], [2.27486961476464, 48.85074788235208], [2.274890082081944, 48.850726464837976]]], ""type"": ""Polygon""}";48.8506192457,2.27471756695
15;24;15-24;"{""coordinates"": [[[2.312145182022789, 48.84238776174076], [2.312271290400734, 48.84222170376288], [2.312427218759515, 48.842016098296455], [2.312413606325449, 48.841992278571404], [2.312287630815146, 48.84189452623235], [2.312030411728357, 48.84201987775695], [2.31206097322171, 48.84220521963257], [2.311785926893905, 48.84221893043691], [2.311748592432519, 48.84195707905436], [2.311522126942104, 48.84188607136984], [2.311629496237161, 48.84172935399087], [2.311969202053882, 48.84182342956501], [2.312117398242013, 48.841757069432724], [2.312033135982943, 48.84168054338612], [2.312126828789871, 48.84162892518043], [2.312120037717792, 48.841587331770775], [2.311952353227575, 48.8414613274954], [2.31182538806036, 48.84164270103591], [2.311659370795747, 48.84158920033905], [2.311606542121945, 48.841658530747175], [2.311575866122558, 48.84169976467652], [2.311550303918679, 48.84173376293953], [2.311338985535441, 48.84201368603638], [2.311313422587494, 48.84204761408612], [2.311271669616955, 48.84210268566851], [2.31126229628007, 48.842114978210574], [2.311294648501835, 48.8421255233776], [2.311418950371549, 48.84216545582222], [2.311498979489517, 48.84219182001012], [2.311682026100011, 48.84224968007572], [2.311660723209887, 48.842278199629654], [2.311641976356071, 48.84230383882606], [2.311892285381281, 48.84237850441843], [2.311908476883658, 48.84235455028964], [2.312118768137183, 48.84242218150665], [2.312145182022789, 48.84238776174076]]], ""type"": ""Polygon""}";48.8420045962,2.31186126913
16;78;16-78;"{""coordinates"": [[[2.26349949583201, 48.838902465156444], [2.263570204413093, 48.83887749946501], [2.2636613577927163, 48.83884524064719], [2.263169716973913, 48.83850516722544], [2.263071744869371, 48.838541847265134], [2.262920953217996, 48.83859830638462], [2.262905619249808, 48.838603846478435], [2.262925168749526, 48.83862634068447], [2.26301781628286, 48.838735086505906], [2.262816764601019, 48.838807460534944], [2.262955396096023, 48.83891244258224], [2.263340466684243, 48.83877070336989], [2.26349949583201, 48.838902465156444]]], ""type"": ""Polygon""}";48.8387266383,2.26319766094
15;79;15-79;"{""coordinates"": [[[2.291002753490817, 48.83537665338629], [2.290969242704349, 48.83536024172404], [2.290960722604409, 48.835367334048584], [2.290947957713657, 48.83536107607982], [2.290539137953179, 48.83570175865165], [2.290558067760819, 48.83571091593533], [2.2905492699498993, 48.83571838431895], [2.290583109676588, 48.83573555981377], [2.291002753490817, 48.83537665338629]]], ""type"": ""Polygon""}";48.8355476259,2.29076402331
15;65;15-65;"{""coordinates"": [[[2.284480713255336, 48.836165533632375], [2.283988147655416, 48.836585436766015], [2.284194033071018, 48.83664559241805], [2.2842399381886382, 48.83658399738597], [2.284349868001801, 48.83645377734034], [2.284413908971003, 48.83638396253499], [2.284592187485068, 48.836223054364105], [2.284480713255336, 48.836165533632375]]], ""type"": ""Polygon""}";48.8364189919,2.28428994668
15;77;15-77;"{""coordinates"": [[[2.3035264697702242, 48.83760371894454], [2.303397967453756, 48.837506939392114], [2.303277868429634, 48.83757533321448], [2.303401260903768, 48.83767358688127], [2.303414890412314, 48.837664949548206], [2.3035264697702242, 48.83760371894454]]], ""type"": ""Polygon""}";48.8375899358,2.30340117934
13;10;13-10;"{""coordinates"": [[[2.343334816505185, 48.83011968670436], [2.343343324745538, 48.83008434757447], [2.342988252692541, 48.829455298434134], [2.342961009784394, 48.82944188120612], [2.342936321195852, 48.829435910431386], [2.342933767631326, 48.82944061811521], [2.342932065942567, 48.82944539523412], [2.342931215223012, 48.829450313733126], [2.342932067288585, 48.829455231694126], [2.342932918539562, 48.82945902543326], [2.342965285500528, 48.82960262640286], [2.343047895615632, 48.8298854709567], [2.343065777595432, 48.829918771354805], [2.343093023885946, 48.82994869836992], [2.343109200691046, 48.82996478617735], [2.34327692573769, 48.83010711487344], [2.343281182282809, 48.83010985435395], [2.343290547986918, 48.83011350687205], [2.3432990606387563, 48.83011631738879], [2.343300764059688, 48.83011680880618], [2.343303317921424, 48.83011716009413], [2.343312682596344, 48.83011905612864], [2.343322897441625, 48.83011996841911], [2.34332460119442, 48.83012010908242], [2.343334816505185, 48.83011968670436]]], ""type"": ""Polygon""}";48.8298082397,2.34311772385
17;21;17-21;"{""coordinates"": [[[2.299268695418089, 48.88695034777525], [2.299271033029699, 48.88691851432468], [2.299328151833592, 48.88692092964452], [2.29936255044625, 48.8869091860138], [2.299366852782741, 48.886853966145424], [2.299450375545071, 48.88685652241927], [2.299451227993238, 48.8868553987456], [2.299370290637365, 48.886816169364806], [2.299302133588898, 48.88678256449597], [2.299275722596416, 48.886769769825065], [2.299287664550617, 48.88675600349386], [2.299246771308888, 48.88673617762292], [2.299237399478721, 48.88673153797967], [2.299164982179558, 48.88669652672138], [2.299113863759306, 48.88667163886847], [2.298934099328545, 48.88658418133421], [2.298873539468201, 48.88664725121171], [2.298896550429661, 48.88664810182338], [2.298925526997378, 48.88665021944575], [2.298965726787121, 48.886650126563964], [2.298942420830814, 48.88684834672841], [2.299196394670619, 48.88685700117936], [2.29919381969292, 48.88688032556368], [2.299191242229417, 48.886907583609556], [2.29918646529182, 48.886946578548624], [2.299268695418089, 48.88695034777525]]], ""type"": ""Polygon""}";48.8867814374,2.29913673555
19;25;19-25;"{""coordinates"": [[[2.38365833057432, 48.88770482368547], [2.383994229366328, 48.887803744765144], [2.384087473456655, 48.88726709204278], [2.3841428866868473, 48.887282243784654], [2.384142807049675, 48.88719765572281], [2.384142791936842, 48.88718163779697], [2.3841376664572542, 48.887169696298905], [2.38412657541783, 48.88715803797995], [2.384115488294129, 48.887150315119094], [2.38409586540947, 48.887128543187394], [2.383721620797897, 48.88703244847619], [2.383712311873621, 48.88710228699082], [2.383928811757662, 48.887122430820355], [2.383867979147683, 48.88768759424389], [2.383666829529404, 48.88767854424965], [2.38365833057432, 48.88770482368547]]], ""type"": ""Polygon""}";48.8874157051,2.38395302621
18;105;18-105;"{""coordinates"": [[[2.346176864593933, 48.88757800593941], [2.346007094276334, 48.887571111752486], [2.345988876762838, 48.88763706957836], [2.346042873062835, 48.887643894508194], [2.346041365710348, 48.88764935687846], [2.346113214890559, 48.887657913357394], [2.346114988107548, 48.88765136964917], [2.346156424252969, 48.88765711599193], [2.346176864593933, 48.88757800593941]]], ""type"": ""Polygon""}";48.8876123623,2.34608450451
14;170;14-170;"{""coordinates"": [[[2.315067373155172, 48.82645441058691], [2.315261432598532, 48.82641119418861], [2.315271755348161, 48.82640732660492], [2.315279416627066, 48.82640023119987], [2.315283298821436, 48.82639275800277], [2.315262851043633, 48.826348310531095], [2.31496681730119, 48.82576362485788], [2.31487317248855, 48.82578433264047], [2.314588830157296, 48.82584785973422], [2.3149059720898792, 48.8264703800078], [2.314910839159871, 48.82647379225312], [2.314917815724963, 48.82647775890832], [2.314925891160263, 48.82648030364416], [2.314941114618897, 48.82648133430034], [2.315067373155172, 48.82645441058691]]], ""type"": ""Polygon""}";48.8261252376,2.3149401356
13;63;13-63;"{""coordinates"": [[[2.34435980280682, 48.82632846460052], [2.344407755359434, 48.82633325135083], [2.344452871220606, 48.82632650422001], [2.344457127766848, 48.82632608236164], [2.344476705469107, 48.82632502678424], [2.344495433710119, 48.82632544692083], [2.344517565576556, 48.82632741285118], [2.344535442082941, 48.826330573209425], [2.344539698596297, 48.82633134571963], [2.3445575761121003, 48.82633605120849], [2.34457460088983, 48.82634195178905], [2.344580561084517, 48.826344269769685], [2.344595884124093, 48.82635150468869], [2.344609504854285, 48.82635979423854], [2.34461886999506, 48.82636604586222], [2.34463589694852, 48.82638185217547], [2.344640154660248, 48.82638599734946], [2.344648668821383, 48.8263970973412], [2.344654629120581, 48.82640861863526], [2.344668376321751, 48.82640457302698], [2.344629658499853, 48.826289408875766], [2.34435980280682, 48.82632846460052]]], ""type"": ""Polygon""}";48.8263305986,2.34457208658
17;94;17-94;"{""coordinates"": [[[2.306100405573339, 48.89149663555308], [2.305970219627953, 48.891613956442264], [2.306148776815529, 48.891717528874935], [2.306290426426563, 48.89158787789064], [2.306100405573339, 48.89149663555308]]], ""type"": ""Polygon""}";48.8916048383,2.30612882106
18;76;18-76;"{""coordinates"": [[[2.336107728598853, 48.894920017513115], [2.336239852962751, 48.89494966579339], [2.336179333944187, 48.89480437680521], [2.336069370894326, 48.89482587432741], [2.336107728598853, 48.894920017513115]]], ""type"": ""Polygon""}";48.8948752155,2.33615341392
18;101;18-101;"{""coordinates"": [[[2.34338062067081, 48.886432446930286], [2.343410273260749, 48.88643601529561], [2.343424160650032, 48.88643888026509], [2.343444328792764, 48.886453250598095], [2.343451157712483, 48.88647049218255], [2.3434477642032983, 48.88650655549936], [2.343421359687236, 48.886731752515566], [2.343566848706036, 48.88673853346091], [2.343567839782783, 48.88673077230261], [2.343561015756799, 48.88673055322615], [2.343561474634612, 48.88672433419467], [2.343568812576957, 48.88672456957846], [2.343569047660906, 48.88672139084542], [2.343572883625157, 48.88672151349967], [2.343573214452213, 48.886717014179474], [2.343583629066941, 48.88671734826857], [2.343583303227183, 48.88672177656932], [2.343600122018311, 48.88672231573919], [2.343600434351746, 48.88671809331039], [2.34361018782336, 48.88671840668553], [2.343609844027405, 48.8867230696123], [2.343697760284461, 48.88672589069279], [2.343697759832917, 48.88672181493835], [2.343707097241809, 48.88672181395839], [2.343707097408576, 48.88672688616606], [2.343722890204095, 48.88672724702406], [2.343722890215988, 48.88672280974259], [2.343731815748325, 48.88672335239488], [2.343731817089611, 48.886727790583095], [2.343743627565896, 48.886728604455975], [2.34374321614434, 48.88673322384468], [2.343794421924688, 48.88673608376075], [2.343794421941818, 48.88673164558004], [2.3438018376090772, 48.88673209811345], [2.343801837811763, 48.88673662712744], [2.343804446611532, 48.8867366270356], [2.343795449376352, 48.88681211403259], [2.343792044900554, 48.886843870408065], [2.344025572576367, 48.8868563601492], [2.344214780749175, 48.88686786925641], [2.344189244102837, 48.88709381394817], [2.344001739510698, 48.88708286722709], [2.343988121301036, 48.887206377241895], [2.343988120775916, 48.887207501397796], [2.34402476980163, 48.88720890458677], [2.34403584893155, 48.887209325014524], [2.3440264860457782, 48.88729166556109], [2.344405774735652, 48.887431308431246], [2.344462874354316, 48.88740488856797], [2.344403150909253, 48.88697843976326], [2.343995672691973, 48.88636330640794], [2.343620824558851, 48.88634929641146], [2.343395668846396, 48.88633763149057], [2.343393964901638, 48.88633833351463], [2.34338062067081, 48.886432446930286]]], ""type"": ""Polygon""}";48.8867873456,2.34396796873
19;6;19-6;"{""coordinates"": [[[2.375034039799682, 48.88114560142437], [2.374833621043712, 48.88094248925099], [2.374810620245418, 48.88095261340134], [2.374641946260521, 48.88102854596646], [2.374635131133687, 48.88103149973804], [2.374676921998229, 48.88107644886285], [2.374603661523908, 48.881112444953125], [2.374758877250018, 48.881268219961065], [2.375034039799682, 48.88114560142437]]], ""type"": ""Polygon""}";48.8811077437,2.37480778021
19;1;19-1;"{""coordinates"": [[[2.391606750773014, 48.88295871042896], [2.391802809691084, 48.883002876906076], [2.391877639015763, 48.882853335743285], [2.391690954162942, 48.88280776010049], [2.391606750773014, 48.88295871042896]]], ""type"": ""Polygon""}";48.8829060931,2.39174393203
19;36;19-36;"{""coordinates"": [[[2.387085561481109, 48.87600245200497], [2.3867677647501813, 48.876037018075316], [2.386570100122814, 48.87605860285718], [2.386612774663383, 48.87612919157491], [2.386801885242769, 48.87607437844759], [2.38682577416201, 48.87610366525726], [2.387055777463943, 48.8760412459866], [2.387085561481109, 48.87600245200497]]], ""type"": ""Polygon""}";48.8760607348,2.38681142685
